商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1029090,"其他牛,改良种用除外",110,中国香港,851820,千克,1412,头,31001564
1039120,"其他猪,10kg≤重...",110,中国香港,58965,千克,1194,头,1962714
1039200,"其他猪,重量≥50k...",110,中国香港,13164830,千克,121693,头,234581863
1051190,"其他鸡,改良种用除外...",110,中国香港,8163,千克,180440,只,427547
1061190,"其他灵长目动物,改良...",116,日本,410,千克,126,只,1433417
1061190,"其他灵长目动物,改良...",502,美国,7570,千克,1343,只,13365145
1061490,"其他家兔及野兔,改良...",116,日本,2700,千克,900,只,126900
1061490,"其他家兔及野兔,改良...",132,新加坡,194,千克,73,只,126101
1061490,"其他家兔及野兔,改良...",133,韩国,26,千克,12,只,7920
1061910,其他改良种用哺乳动物,304,德国,202,千克,2,只,1372700
1061990,"未列名哺乳动物,改良...",110,中国香港,55,千克,33,只,71796
1061990,"未列名哺乳动物,改良...",112,印度尼西亚,60,千克,2,只,2728
1061990,"未列名哺乳动物,改良...",116,日本,193,千克,42,只,153859
1061990,"未列名哺乳动物,改良...",122,马来西亚,296,千克,66,只,45035
1061990,"未列名哺乳动物,改良...",125,尼泊尔,46,千克,5,只,3410
1061990,"未列名哺乳动物,改良...",132,新加坡,27,千克,114,只,45740
1061990,"未列名哺乳动物,改良...",133,韩国,1405,千克,1119,只,899076
1061990,"未列名哺乳动物,改良...",136,泰国,525,千克,380,只,179490
1061990,"未列名哺乳动物,改良...",502,美国,40,千克,200,只,40711
1062020,食用爬行动物,116,日本,2500,千克,3015,只,215491
1062020,食用爬行动物,132,新加坡,500,千克,750,只,36142
1062020,食用爬行动物,133,韩国,3747,千克,3808,只,319899
1062020,食用爬行动物,141,越南,36840,千克,23780,只,2870232
1062090,未列名爬行动物,110,中国香港,34,千克,5800,只,86344
1062090,未列名爬行动物,112,印度尼西亚,1625,千克,92750,只,102223
1062090,未列名爬行动物,132,新加坡,18,千克,1500,只,2046
1062090,未列名爬行动物,133,韩国,10,千克,2000,只,27277
1062090,未列名爬行动物,143,中国台湾,50,千克,10000,只,35954
1062090,未列名爬行动物,231,毛里求斯,3,千克,150,只,307
1062090,未列名爬行动物,304,德国,186,千克,31000,只,293195
1062090,未列名爬行动物,344,俄罗斯,700,千克,80000,只,94106
1063910,其他改良种用鸟,136,泰国,219,千克,438,只,29869
1064990,"其他昆虫,改良种用除...",110,中国香港,2100,千克,756000,只,18506
1069090,"其他活动物,改良种用...",116,日本,1680,千克,5040000,只,143205
2022000,冻带骨牛肉,110,中国香港,10000,千克,0,—,524520
2022000,冻带骨牛肉,601,澳大利亚,4644,千克,0,—,47809
2023000,冻去骨牛肉,110,中国香港,75203,千克,0,—,4851970
2023000,冻去骨牛肉,601,澳大利亚,19784,千克,0,—,478274
2031200,鲜或冷的带骨猪前腿、...,110,中国香港,234055,千克,0,—,7125921
2031900,其他鲜或冷的猪肉,110,中国香港,322465,千克,0,—,9291647
2032110,冻整头及半头乳猪肉,132,新加坡,48360,千克,0,—,3868612
2032900,其他冻猪肉,110,中国香港,3331700,千克,0,—,113994643
2044200,冻带骨绵羊肉,110,中国香港,91596,千克,0,—,5193661
2044300,冻去骨绵羊肉,110,中国香港,23650,千克,0,—,1066676
2045000,山羊肉,110,中国香港,26000,千克,0,—,1869852
2062900,其他冻牛杂碎,601,澳大利亚,1115,千克,0,—,27172
2071100,"整只鸡,鲜或冷的",110,中国香港,4360800,千克,0,—,91051397
2071200,"整只鸡,冻的",110,中国香港,128938,千克,0,—,2426521
2071311,鲜或冷的带骨鸡块,110,中国香港,26740,千克,0,—,477178
2071329,鲜或冷的其他鸡杂碎,110,中国香港,5460,千克,0,—,101181
2071411,带骨的冻鸡块,102,巴林,27000,千克,0,—,271165
2071411,带骨的冻鸡块,110,中国香港,938065,千克,0,—,10241462
2071419,其他冻鸡块,102,巴林,987000,千克,0,—,11512617
2071419,其他冻鸡块,110,中国香港,3173232,千克,0,—,39618771
2071419,其他冻鸡块,122,马来西亚,185086,千克,0,—,3018791
2071419,其他冻鸡块,225,利比里亚,55000,千克,0,—,529013
2071419,其他冻鸡块,337,格鲁吉亚(2023年起停用),539652,千克,0,—,5794778
2071421,冻鸡翼（不包括翼尖）,110,中国香港,128830,千克,0,—,4391843
2074100,鲜或冷的整只鸭,110,中国香港,1601280,千克,0,—,23374043
2074200,整只冻鸭,110,中国香港,277882,千克,0,—,3483200
2074200,整只冻鸭,202,安哥拉,6996,千克,0,—,86398
2074500,冻的鸭块及杂碎,102,巴林,75393,千克,0,—,867609
2074500,冻的鸭块及杂碎,110,中国香港,128500,千克,0,—,1463745
2074500,冻的鸭块及杂碎,145,哈萨克斯坦,151200,千克,0,—,1223710
2074500,冻的鸭块及杂碎,202,安哥拉,4015,千克,0,—,60606
2075100,鲜或冷的整只鹅,110,中国香港,903730,千克,0,—,24139517
2081020,"冻兔肉,不包括兔头",304,德国,215008,千克,0,—,6202693
2081020,"冻兔肉,不包括兔头",344,俄罗斯,124000,千克,0,—,2908580
2081020,"冻兔肉,不包括兔头",502,美国,93600,千克,0,—,2375478
2089010,鲜、冷、冻的乳鸽肉及...,110,中国香港,330375,千克,0,—,6257629
2089090,其他鲜、冷、冻的肉及...,110,中国香港,9900,千克,0,—,613241
2101900,其他干、熏、盐腌或盐...,110,中国香港,1894,千克,0,—,176493
2109900,其他干、熏、盐腌或盐...,110,中国香港,34148,千克,0,—,906453
3011100,淡水观赏鱼,110,中国香港,14975,千克,0,—,166212
3011100,淡水观赏鱼,111,印度,65,千克,0,—,21993
3011100,淡水观赏鱼,116,日本,354,千克,0,—,59522
3011100,淡水观赏鱼,122,马来西亚,804,千克,0,—,103590
3011100,淡水观赏鱼,132,新加坡,734,千克,0,—,193015
3011100,淡水观赏鱼,133,韩国,456,千克,0,—,110368
3011100,淡水观赏鱼,136,泰国,257,千克,0,—,16921
3011100,淡水观赏鱼,143,中国台湾,565,千克,0,—,56278
3011100,淡水观赏鱼,145,哈萨克斯坦,236,千克,0,—,17869
3011100,淡水观赏鱼,231,毛里求斯,10,千克,0,—,2001
3011100,淡水观赏鱼,249,突尼斯,54,千克,0,—,29664
3011100,淡水观赏鱼,303,英国,99,千克,0,—,50673
3011100,淡水观赏鱼,304,德国,105,千克,0,—,41628
3011100,淡水观赏鱼,344,俄罗斯,252,千克,0,—,105161
3011100,淡水观赏鱼,502,美国,2822,千克,0,—,329795
3011100,淡水观赏鱼,601,澳大利亚,363,千克,0,—,65527
3019290,"其他活鳗鱼,鱼苗除外",110,中国香港,66285,千克,0,—,5788370
3019290,"其他活鳗鱼,鱼苗除外",116,日本,727560,千克,0,—,118718307
3019290,"其他活鳗鱼,鱼苗除外",132,新加坡,1880,千克,0,—,306239
3019290,"其他活鳗鱼,鱼苗除外",133,韩国,63848,千克,0,—,5559531
3019290,"其他活鳗鱼,鱼苗除外",141,越南,57214,千克,0,—,4119408
3019390,"其他活鲤科鱼, 鱼苗...",110,中国香港,1964082,千克,0,—,42599855
3019390,"其他活鲤科鱼, 鱼苗...",133,韩国,127100,千克,0,—,2307773
3019390,"其他活鲤科鱼, 鱼苗...",141,越南,31100,千克,0,—,855250
3019919,其他鱼苗,116,日本,159290,千克,0,—,14479938
3019919,其他鱼苗,122,马来西亚,1010,千克,0,—,4501
3019919,其他鱼苗,133,韩国,23184,千克,0,—,505915
3019919,其他鱼苗,141,越南,4500,千克,0,—,53190
3019991,活罗非鱼,110,中国香港,85230,千克,0,—,1742388
3019992,活鲀,133,韩国,8850,千克,0,—,968238
3019993,其他活鲤科鱼,110,中国香港,622028,千克,0,—,13948657
3019993,其他活鲤科鱼,133,韩国,89500,千克,0,—,2188390
3019999,其他活鱼,110,中国香港,328125,千克,0,—,16438225
3019999,其他活鱼,116,日本,11986,千克,0,—,1020580
3019999,其他活鱼,122,马来西亚,120,千克,0,—,7200
3019999,其他活鱼,132,新加坡,1564,千克,0,—,125204
3019999,其他活鱼,133,韩国,1572288,千克,0,—,67359541
3019999,其他活鱼,136,泰国,85,千克,0,—,5912
3019999,其他活鱼,141,越南,207733,千克,0,—,4837902
3024900,鲜或冷的印度鲭、马鲛...,110,中国香港,2140,千克,0,—,136313
3027300,鲜或冷的鲤科鱼,110,中国香港,4155,千克,0,—,108968
3027400,鲜或冷的鳗鱼,110,中国香港,25889,千克,0,—,1042220
3028200,鲜或冷的魟鱼及鳐鱼,133,韩国,5560,千克,0,—,222542
3028910,鲜或冷的带鱼,110,中国香港,15964,千克,0,—,628131
3028920,鲜或冷的黄鱼,110,中国香港,24000,千克,0,—,1894326
3028920,鲜或冷的黄鱼,116,日本,780,千克,0,—,39637
3028920,鲜或冷的黄鱼,132,新加坡,20663,千克,0,—,1155401
3028920,鲜或冷的黄鱼,143,中国台湾,444600,千克,0,—,8316472
3028930,鲜或冷的鲳鱼,110,中国香港,101224,千克,0,—,4257099
3028930,鲜或冷的鲳鱼,143,中国台湾,3095,千克,0,—,128243
3028990,其他鲜或冷的鱼,110,中国香港,686522,千克,0,—,21973060
3028990,其他鲜或冷的鱼,143,中国台湾,106550,千克,0,—,3655678
3028990,其他鲜或冷的鱼,502,美国,2070,千克,0,—,160921
3031100,冻红大麻哈鱼,116,日本,11193,千克,0,—,627681
3031200,其他冻大麻哈鱼,116,日本,18516,千克,0,—,790047
3031300,冻大西洋鲑鱼及多瑙哲...,110,中国香港,16048,千克,0,—,953844
3031300,冻大西洋鲑鱼及多瑙哲...,344,俄罗斯,58902,千克,0,—,2492649
3031400,冻鳟鱼,344,俄罗斯,68850,千克,0,—,3961020
3031900,其他冻鲑科鱼,344,俄罗斯,55680,千克,0,—,1773453
3032300,冻罗非鱼,110,中国香港,3312,千克,0,—,36458
3032300,冻罗非鱼,122,马来西亚,6000,千克,0,—,71555
3032300,冻罗非鱼,132,新加坡,26600,千克,0,—,253838
3032300,冻罗非鱼,202,安哥拉,190010,千克,0,—,2044968
3032300,冻罗非鱼,206,喀麦隆,310400,千克,0,—,4759402
3032300,冻罗非鱼,218,加蓬,432663,千克,0,—,5860876
3032300,冻罗非鱼,223,科特迪瓦,2690722,千克,0,—,37266860
3032300,冻罗非鱼,234,纳米比亚,163700,千克,0,—,1787569
3032300,冻罗非鱼,240,塞内加尔,93560,千克,0,—,1428342
3032300,冻罗非鱼,243,索马里,22000,千克,0,—,262543
3032300,冻罗非鱼,303,英国,266000,千克,0,—,2874838
3032300,冻罗非鱼,337,格鲁吉亚(2023年起停用),25000,千克,0,—,767171
3032300,冻罗非鱼,502,美国,2098017,千克,0,—,23575607
3032400,冻鲶鱼,202,安哥拉,45000,千克,0,—,194009
3032400,冻鲶鱼,206,喀麦隆,50000,千克,0,—,409158
3032400,冻鲶鱼,225,利比里亚,22860,千克,0,—,227504
3032400,冻鲶鱼,240,塞内加尔,8000,千克,0,—,188822
3032500,冻鲤科鱼,141,越南,2175,千克,0,—,48505
3032500,冻鲤科鱼,502,美国,2000,千克,0,—,52665
3033110,冻格陵兰庸鲽鱼,110,中国香港,12200,千克,0,—,722346
3033110,冻格陵兰庸鲽鱼,116,日本,426381,千克,0,—,20560391
3033110,冻格陵兰庸鲽鱼,122,马来西亚,4000,千克,0,—,266294
3033110,冻格陵兰庸鲽鱼,143,中国台湾,48028,千克,0,—,2241425
3033110,冻格陵兰庸鲽鱼,502,美国,100,千克,0,—,3500
3033190,其他冻庸鲽鱼,116,日本,25015,千克,0,—,683704
3033200,冻鲽鱼,116,日本,35860,千克,0,—,702251
3033200,冻鲽鱼,133,韩国,4660,千克,0,—,81034
3033200,冻鲽鱼,502,美国,5085,千克,0,—,368347
3033300,冻鳎鱼,133,韩国,23000,千克,0,—,986628
3033900,其他冻比目鱼,110,中国香港,900,千克,0,—,12807
3033900,其他冻比目鱼,116,日本,330913,千克,0,—,7817485
3033900,其他冻比目鱼,133,韩国,1343997,千克,0,—,22044022
3033900,其他冻比目鱼,143,中国台湾,22400,千克,0,—,1160820
3033900,其他冻比目鱼,502,美国,4285,千克,0,—,113504
3034100,冻长鳍金枪鱼,110,中国香港,24900,千克,0,—,1667638
3034100,冻长鳍金枪鱼,116,日本,101710,千克,0,—,2335335
3034200,冻黄鳍金枪鱼,116,日本,294254,千克,0,—,11893866
3034200,冻黄鳍金枪鱼,133,韩国,49850,千克,0,—,2687519
3034200,冻黄鳍金枪鱼,141,越南,732000,千克,0,—,11150179
3034300,冻鲣鱼或狐鲣,116,日本,411616,千克,0,—,5453755
3034300,冻鲣鱼或狐鲣,136,泰国,1360450,千克,0,—,23887059
3034300,冻鲣鱼或狐鲣,141,越南,212000,千克,0,—,2837648
3034300,冻鲣鱼或狐鲣,601,澳大利亚,12320,千克,0,—,98148
3034400,冻大眼金枪鱼,116,日本,467507,千克,0,—,26756278
3034400,冻大眼金枪鱼,133,韩国,236489,千克,0,—,14421521
3034400,冻大眼金枪鱼,136,泰国,262000,千克,0,—,16644848
3034900,其他冻金枪鱼,141,越南,49800,千克,0,—,1086724
3035100,冻鲱鱼,116,日本,9177,千克,0,—,203387
3035100,冻鲱鱼,132,新加坡,20,千克,0,—,75
3035100,冻鲱鱼,223,科特迪瓦,320142,千克,0,—,1273039
3035300,冻的沙丁鱼、小沙丁鱼...,112,印度尼西亚,289450,千克,0,—,3833758
3035300,冻的沙丁鱼、小沙丁鱼...,116,日本,1100,千克,0,—,41490
3035300,冻的沙丁鱼、小沙丁鱼...,132,新加坡,186900,千克,0,—,2094003
3035300,冻的沙丁鱼、小沙丁鱼...,133,韩国,438885,千克,0,—,4062268
3035300,冻的沙丁鱼、小沙丁鱼...,136,泰国,1284400,千克,0,—,15804580
3035300,冻的沙丁鱼、小沙丁鱼...,143,中国台湾,47000,千克,0,—,464735
3035300,冻的沙丁鱼、小沙丁鱼...,223,科特迪瓦,13300,千克,0,—,27209
3035300,冻的沙丁鱼、小沙丁鱼...,231,毛里求斯,60000,千克,0,—,658078
3035300,冻的沙丁鱼、小沙丁鱼...,344,俄罗斯,51750,千克,0,—,656114
3035400,冻鲭鱼,110,中国香港,3068,千克,0,—,119540
3035400,冻鲭鱼,112,印度尼西亚,3966052,千克,0,—,50719444
3035400,冻鲭鱼,113,伊朗,130000,千克,0,—,722141
3035400,冻鲭鱼,116,日本,121590,千克,0,—,774710
3035400,冻鲭鱼,122,马来西亚,771480,千克,0,—,17539422
3035400,冻鲭鱼,132,新加坡,9500,千克,0,—,129567
3035400,冻鲭鱼,136,泰国,1158501,千克,0,—,14181954
3035400,冻鲭鱼,141,越南,1165540,千克,0,—,12011618
3035400,冻鲭鱼,143,中国台湾,60000,千克,0,—,390000
3035400,冻鲭鱼,212,科摩罗,54000,千克,0,—,423478
3035400,冻鲭鱼,223,科特迪瓦,365540,千克,0,—,4386992
3035400,冻鲭鱼,231,毛里求斯,242100,千克,0,—,1356133
3035400,冻鲭鱼,249,突尼斯,76500,千克,0,—,401691
3035400,冻鲭鱼,259,马约特,28000,千克,0,—,219581
3035400,冻鲭鱼,304,德国,22000,千克,0,—,126600
3035400,冻鲭鱼,344,俄罗斯,210220,千克,0,—,3122627
3035400,冻鲭鱼,502,美国,11900,千克,0,—,194232
3035400,冻鲭鱼,601,澳大利亚,12000,千克,0,—,148115
3035700,冻剑鱼,116,日本,11706,千克,0,—,329791
3035700,冻剑鱼,133,韩国,167279,千克,0,—,6416364
3035900,冻的鳀鱼、印度鲭、马...,110,中国香港,12922,千克,0,—,163364
3035900,冻的鳀鱼、印度鲭、马...,116,日本,41642,千克,0,—,446040
3035900,冻的鳀鱼、印度鲭、马...,122,马来西亚,34360,千克,0,—,592129
3035900,冻的鳀鱼、印度鲭、马...,136,泰国,26000,千克,0,—,231986
