商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1012100,改良种用马,124,蒙古,2850,千克,10,头,51262
1061990,"未列名哺乳动物,改良...",129,菲律宾,731,千克,65,只,83265
1061990,"未列名哺乳动物,改良...",305,法国,0,千克,13,只,27392
1061990,"未列名哺乳动物,改良...",501,加拿大,1143,千克,131,只,729252
1062090,未列名爬行动物,118,科威特,117,千克,13240,只,39375
1062090,未列名爬行动物,307,意大利,190,千克,31360,只,402279
2044300,冻去骨绵羊肉,118,科威特,4000,千克,0,—,306292
2071411,带骨的冻鸡块,124,蒙古,497525,千克,0,—,6144341
2071411,带骨的冻鸡块,339,阿塞拜疆（2023年起停用）,54000,千克,0,—,458477
2071419,其他冻鸡块,124,蒙古,607054,千克,0,—,6994011
2071419,其他冻鸡块,127,巴基斯坦,54000,千克,0,—,605536
2071419,其他冻鸡块,129,菲律宾,28700,千克,0,—,303441
2071429,其他冻鸡杂碎,127,巴基斯坦,27540,千克,0,—,146354
2081020,冻兔肉，不包括兔头,301,比利时,148660,千克,0,—,4268839
2081020,冻兔肉，不包括兔头,305,法国,23730,千克,0,—,698275
2081020,冻兔肉，不包括兔头,309,荷兰,24000,千克,0,—,669345
3011100,淡水观赏鱼,118,科威特,15,千克,0,—,21991
3011100,淡水观赏鱼,129,菲律宾,687,千克,0,—,109539
3011100,淡水观赏鱼,309,荷兰,560,千克,0,—,92610
3011100,淡水观赏鱼,501,加拿大,130,千克,0,—,7867
3019919,其他鱼苗,224,肯尼亚,40,千克,0,—,6000
3028920,鲜或冷的黄鱼,501,加拿大,1370,千克,0,—,118512
3028990,其他鲜或冷的鱼,501,加拿大,480,千克,0,—,27681
3032300,冻罗非鱼,118,科威特,38880,千克,0,—,801438
3032300,冻罗非鱼,203,贝宁,98300,千克,0,—,1029716
3032300,冻罗非鱼,209,中非,40880,千克,0,—,484235
3032300,冻罗非鱼,220,加纳,46800,千克,0,—,526248
3032300,冻罗非鱼,224,肯尼亚,152248,千克,0,—,2657299
3032300,冻罗非鱼,235,尼日尔,77000,千克,0,—,1049439
3032300,冻罗非鱼,244,南非,46624,千克,0,—,477793
3032300,冻罗非鱼,252,刚果民主共和国,429330,千克,0,—,6099602
3032300,冻罗非鱼,301,比利时,191760,千克,0,—,1798536
3032300,冻罗非鱼,305,法国,207748,千克,0,—,1848051
3032300,冻罗非鱼,307,意大利,42000,千克,0,—,417084
3032300,冻罗非鱼,309,荷兰,277000,千克,0,—,2624305
3032300,冻罗非鱼,312,西班牙,22500,千克,0,—,305696
3032300,冻罗非鱼,326,挪威,17000,千克,0,—,162927
3032300,冻罗非鱼,429,墨西哥,25000,千克,0,—,491478
3032300,冻罗非鱼,501,加拿大,19929,千克,0,—,216363
3032400,冻鲶鱼,213,刚果共和国,52000,千克,0,—,1599386
3032400,冻鲶鱼,252,刚果民主共和国,195250,千克,0,—,4465703
3032600,冻鳗鱼,501,加拿大,1584,千克,0,—,199393
3033110,冻马舌鲽(格陵兰庸鲽...,501,加拿大,2992,千克,0,—,162963
3033900,其他冻比目鱼,501,加拿大,4871,千克,0,—,250378
3034100,冻长鳍金枪鱼,312,西班牙,278000,千克,0,—,5365718
3034200,冻黄鳍金枪鱼,129,菲律宾,1180,千克,0,—,86443
3034200,冻黄鳍金枪鱼,307,意大利,200000,千克,0,—,2955730
3034200,冻黄鳍金枪鱼,312,西班牙,432266,千克,0,—,6835390
3034200,冻黄鳍金枪鱼,405,巴巴多斯,1616,千克,0,—,23905
3034300,冻鲣鱼或狐鲣,129,菲律宾,57350,千克,0,—,1104624
3034400,冻大眼金枪鱼,312,西班牙,19979,千克,0,—,663668
3034900,其他冻金枪鱼,129,菲律宾,27500,千克,0,—,518068
3035300,冻的沙丁鱼、小沙丁鱼...,617,萨摩亚,28000,千克,0,—,403691
3035300,冻的沙丁鱼、小沙丁鱼...,621,马绍尔群岛,52000,千克,0,—,666411
3035400,冻鲭鱼,129,菲律宾,364000,千克,0,—,5731132
3035400,冻鲭鱼,138,阿联酋,79370,千克,0,—,1347183
3035400,冻鲭鱼,220,加纳,1054800,千克,0,—,12553387
3035400,冻鲭鱼,224,肯尼亚,378000,千克,0,—,3467130
3035700,冻剑鱼,307,意大利,48094,千克,0,—,1920849
3035700,冻剑鱼,405,巴巴多斯,19191,千克,0,—,283892
3035910,冻银鲳(鲳属),129,菲律宾,25622,千克,0,—,2626839
3035910,冻银鲳(鲳属),501,加拿大,3259,千克,0,—,348124
3035990,冻鳀鱼(鳀属）、冻印...,129,菲律宾,359585,千克,0,—,4993472
3035990,冻鳀鱼(鳀属）、冻印...,405,巴巴多斯,4138,千克,0,—,61213
3035990,冻鳀鱼(鳀属）、冻印...,442,特立尼达和多巴哥,28000,千克,0,—,1596823
3038100,冻角鲨及其他鲨鱼,410,巴西,105595,千克,0,—,6709188
3038100,冻角鲨及其他鲨鱼,444,乌拉圭,168000,千克,0,—,9560475
3038910,冻带鱼,129,菲律宾,18750,千克,0,—,1141389
3038910,冻带鱼,305,法国,8800,千克,0,—,202403
3038910,冻带鱼,307,意大利,8300,千克,0,—,280361
3038910,冻带鱼,501,加拿大,10272,千克,0,—,660867
3038920,冻黄鱼,305,法国,10480,千克,0,—,182517
3038920,冻黄鱼,307,意大利,28280,千克,0,—,1227687
3038920,冻黄鱼,315,奥地利,2250,千克,0,—,81635
3038920,冻黄鱼,501,加拿大,47233,千克,0,—,2976979
3038930,冻鲳鱼(银鲳除外),129,菲律宾,91883,千克,0,—,9593855
3038930,冻鲳鱼(银鲳除外),138,阿联酋,17400,千克,0,—,233026
3038930,冻鲳鱼(银鲳除外),307,意大利,480,千克,0,—,28084
3038990,未列名冻鱼,129,菲律宾,631670,千克,0,—,30043948
3038990,未列名冻鱼,213,刚果共和国,49330,千克,0,—,1113793
3038990,未列名冻鱼,233,莫桑比克,135000,千克,0,—,1413931
3038990,未列名冻鱼,252,刚果民主共和国,180000,千克,0,—,5321555
3038990,未列名冻鱼,301,比利时,124991,千克,0,—,1701618
3038990,未列名冻鱼,305,法国,58554,千克,0,—,1975890
3038990,未列名冻鱼,307,意大利,117919,千克,0,—,2825180
3038990,未列名冻鱼,309,荷兰,23298,千克,0,—,357442
3038990,未列名冻鱼,315,奥地利,1306,千克,0,—,37084
3038990,未列名冻鱼,410,巴西,45448,千克,0,—,933924
3038990,未列名冻鱼,501,加拿大,485638,千克,0,—,11553837
3046100,冻罗非鱼鱼片,252,刚果民主共和国,7000,千克,0,—,132686
3046100,冻罗非鱼鱼片,305,法国,3360,千克,0,—,74653
3046100,冻罗非鱼鱼片,307,意大利,24000,千克,0,—,482892
3046100,冻罗非鱼鱼片,309,荷兰,88246,千克,0,—,1842357
3046100,冻罗非鱼鱼片,312,西班牙,154442,千克,0,—,2831369
3046100,冻罗非鱼鱼片,316,保加利亚,16100,千克,0,—,311476
3046100,冻罗非鱼鱼片,326,挪威,4000,千克,0,—,68138
3046100,冻罗非鱼鱼片,327,波兰,379900,千克,0,—,6595235
3046100,冻罗非鱼鱼片,415,哥斯达黎加,152802,千克,0,—,2396865
3046100,冻罗非鱼鱼片,429,墨西哥,86025,千克,0,—,1690857
3046100,冻罗非鱼鱼片,501,加拿大,109514,千克,0,—,3826657
3046290,其他冻鲶鱼鱼片,501,加拿大,14000,千克,0,—,130578
3046900,冻鲤科鱼、鳗鱼及黑鱼...,501,加拿大,7560,千克,0,—,255840
3047100,冻鳕鱼鱼片,301,比利时,40081,千克,0,—,1607622
3047100,冻鳕鱼鱼片,305,法国,485917,千克,0,—,17680680
3047100,冻鳕鱼鱼片,306,爱尔兰,87846,千克,0,—,3736842
3047100,冻鳕鱼鱼片,307,意大利,37105,千克,0,—,1308432
3047100,冻鳕鱼鱼片,309,荷兰,123973,千克,0,—,4453194
3047100,冻鳕鱼鱼片,310,希腊,37628,千克,0,—,850484
3047100,冻鳕鱼鱼片,312,西班牙,521341,千克,0,—,13645067
