商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1029090,"其他牛,改良种用除外",121,中国澳门,106200,千克,146,头,3861050
1039200,"其他猪,重量≥50k...",121,中国澳门,574284,千克,5761,头,17699881
1061990,"未列名哺乳动物,改良...",107,柬埔寨,57,千克,7,只,4950
1061990,"未列名哺乳动物,改良...",121,中国澳门,33,千克,129,只,31192
1061990,"未列名哺乳动物,改良...",302,丹麦,0,千克,7,只,248
1061990,"未列名哺乳动物,改良...",311,葡萄牙,0,千克,8,只,161
1061990,"未列名哺乳动物,改良...",331,瑞士,0,千克,4,只,85
1062020,食用爬行动物,121,中国澳门,1090,千克,1090,只,49252
1069090,"其他活动物,改良种用...",121,中国澳门,6750,千克,45000,只,60870
2031900,其他鲜或冷的猪肉,121,中国澳门,54489,千克,0,—,3278309
2032900,其他冻猪肉,121,中国澳门,94500,千克,0,—,4157513
2045000,山羊肉,121,中国澳门,18655,千克,0,—,1295233
2064900,其他冻猪杂碎,121,中国澳门,12000,千克,0,—,340518
2071100,"整只鸡,鲜或冷的",121,中国澳门,730948,千克,0,—,19553178
2071200,"整只鸡,冻的",121,中国澳门,72393,千克,0,—,2080803
2071311,鲜或冷的带骨鸡块,121,中国澳门,31475,千克,0,—,846472
2071329,鲜或冷的其他鸡杂碎,121,中国澳门,5680,千克,0,—,153187
2071411,带骨的冻鸡块,121,中国澳门,46800,千克,0,—,541112
2071419,其他冻鸡块,101,阿富汗,27000,千克,0,—,365876
2071419,其他冻鸡块,107,柬埔寨,11000,千克,0,—,194502
2071419,其他冻鸡块,121,中国澳门,89260,千克,0,—,1522385
2071429,其他冻鸡杂碎,101,阿富汗,46704,千克,0,—,222117
2074100,鲜或冷的整只鸭,121,中国澳门,152126,千克,0,—,2678007
2074200,整只冻鸭,107,柬埔寨,24890,千克,0,—,345564
2074200,整只冻鸭,121,中国澳门,52534,千克,0,—,874222
2074200,整只冻鸭,146,吉尔吉斯斯坦,24005,千克,0,—,305688
2074400,鲜或冷的鸭块及杂碎,121,中国澳门,2390,千克,0,—,43985
2074500,冻的鸭块及杂碎,121,中国澳门,1670,千克,0,—,39639
2074500,冻的鸭块及杂碎,146,吉尔吉斯斯坦,24000,千克,0,—,243174
2075100,鲜或冷的整只鹅,121,中国澳门,48961,千克,0,—,2097647
2075200,整只冻鹅,121,中国澳门,9283,千克,0,—,338054
2075400,鲜或冷的鹅块及杂碎,121,中国澳门,2286,千克,0,—,107188
2081020,"冻兔肉,不包括兔头",352,捷克,26000,千克,0,—,813503
