商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1029090,"其他牛,改良种用除外",110,中国香港,564760,千克,911,头,3002052
1039120,"其他猪,10kg≤重...",110,中国香港,37958,千克,784,头,181712
1039200,"其他猪,重量≥50k...",110,中国香港,5245555,千克,46284,头,12564740
1051190,"其他鸡,改良种用除外...",110,中国香港,8780,千克,196600,只,93589
1061190,"其他灵长目动物,改良...",502,美国,2444,千克,720,只,1271800
1061490,"其他家兔及野兔,改良...",133,韩国,524,千克,225,只,20705
1061910,其他改良种用哺乳动物,133,韩国,512,千克,53,只,36452
1061990,"未列名哺乳动物,改良...",110,中国香港,77,千克,56,只,15870
1061990,"未列名哺乳动物,改良...",116,日本,249,千克,143,只,40404
1061990,"未列名哺乳动物,改良...",122,马来西亚,126,千克,21,只,2900
1061990,"未列名哺乳动物,改良...",125,尼泊尔,73,千克,7,只,700
1061990,"未列名哺乳动物,改良...",132,新加坡,49,千克,33,只,930
1061990,"未列名哺乳动物,改良...",133,韩国,1571,千克,1352,只,150683
1061990,"未列名哺乳动物,改良...",136,泰国,685,千克,81,只,8625
1061990,"未列名哺乳动物,改良...",141,越南,13,千克,1,只,100
1061990,"未列名哺乳动物,改良...",303,英国,4,千克,8,只,212
1061990,"未列名哺乳动物,改良...",502,美国,96,千克,455,只,12439
1062020,食用爬行动物,110,中国香港,300,千克,456,只,3830
1062020,食用爬行动物,116,日本,3500,千克,3940,只,45995
1062020,食用爬行动物,133,韩国,2500,千克,3130,只,39700
1062020,食用爬行动物,141,越南,30540,千克,20100,只,293226
1062090,未列名爬行动物,112,印度尼西亚,712,千克,60400,只,12520
1062090,未列名爬行动物,133,韩国,1326,千克,7200,只,9880
1062090,未列名爬行动物,143,中国台湾,86,千克,13500,只,7543
1062090,未列名爬行动物,304,德国,53,千克,5000,只,12939
1062090,未列名爬行动物,337,格鲁吉亚(2023年起停用),31,千克,5120,只,1536
1062090,未列名爬行动物,344,俄罗斯,75,千克,15000,只,3800
1062090,未列名爬行动物,502,美国,400,千克,1800,只,8254
1064990,"其他昆虫,改良种用除...",110,中国香港,600,千克,600000,只,1800
1069090,"其他活动物,改良种用...",133,韩国,1500,千克,75000,只,24350
2031200,鲜或冷的带骨猪前腿、...,110,中国香港,172022,千克,0,—,811857
2031900,其他鲜或冷的猪肉,110,中国香港,254355,千克,0,—,1132490
2032190,其他冻整头及半头猪肉,110,中国香港,93200,千克,0,—,440629
2032900,其他冻猪肉,110,中国香港,752500,千克,0,—,3573899
2044200,冻带骨绵羊肉,110,中国香港,9361,千克,0,—,108455
2045000,山羊肉,110,中国香港,16000,千克,0,—,204800
2050000,鲜、冷、冻的马、驴、...,116,日本,9631,千克,0,—,130762
2062900,其他冻牛杂碎,110,中国香港,5000,千克,0,—,3270
2069000,其他冻杂碎（牛、猪杂...,116,日本,748,千克,0,—,11097
2071100,"整只鸡,鲜或冷的",110,中国香港,3679991,千克,0,—,12802044
2071200,"整只鸡,冻的",110,中国香港,204086,千克,0,—,639391
2071311,鲜或冷的带骨鸡块,110,中国香港,62992,千克,0,—,262272
2071329,鲜或冷的其他鸡杂碎,110,中国香港,4120,千克,0,—,13704
2071411,带骨的冻鸡块,110,中国香港,733555,千克,0,—,1665572
2071419,其他冻鸡块,102,巴林,106800,千克,0,—,194123
2071419,其他冻鸡块,110,中国香港,1531484,千克,0,—,3893395
2071419,其他冻鸡块,122,马来西亚,783000,千克,0,—,2069279
2071419,其他冻鸡块,337,格鲁吉亚(2023年起停用),211642,千克,0,—,434014
2071421,冻鸡翼（不包括翼尖）,110,中国香港,54500,千克,0,—,292579
2071429,其他冻鸡杂碎,110,中国香港,19200,千克,0,—,78760
2074100,鲜或冷的整只鸭,110,中国香港,1671901,千克,0,—,4202490
2074200,整只冻鸭,110,中国香港,82028,千克,0,—,164055
2074400,鲜或冷的鸭块及杂碎,110,中国香港,12150,千克,0,—,24004
2074500,冻的鸭块及杂碎,110,中国香港,59045,千克,0,—,106802
2075100,鲜或冷的整只鹅,110,中国香港,938660,千克,0,—,4674103
2075400,鲜或冷的鹅块及杂碎,110,中国香港,2916,千克,0,—,7426
2081020,"冻兔肉,不包括兔头",304,德国,48012,千克,0,—,211795
2081020,"冻兔肉,不包括兔头",502,美国,10000,千克,0,—,43000
2089010,鲜、冷、冻的乳鸽肉及...,110,中国香港,341020,千克,0,—,1730501
2089090,其他鲜、冷、冻的肉及...,110,中国香港,160,千克,0,—,13890
2101900,其他干、熏、盐腌或盐...,110,中国香港,1665,千克,0,—,21452
2102000,干、熏、盐腌或盐渍牛...,110,中国香港,80,千克,0,—,1014
2109900,其他干、熏、盐腌或盐...,110,中国香港,56719,千克,0,—,143659
3011100,淡水观赏鱼,110,中国香港,22442,千克,0,—,28432
3011100,淡水观赏鱼,112,印度尼西亚,200,千克,0,—,4000
3011100,淡水观赏鱼,116,日本,415,千克,0,—,17254
3011100,淡水观赏鱼,122,马来西亚,866,千克,0,—,5600
3011100,淡水观赏鱼,132,新加坡,903,千克,0,—,45204
3011100,淡水观赏鱼,133,韩国,589,千克,0,—,22242
3011100,淡水观赏鱼,136,泰国,30,千克,0,—,500
3011100,淡水观赏鱼,143,中国台湾,1270,千克,0,—,8717
3011100,淡水观赏鱼,337,格鲁吉亚(2023年起停用),47,千克,0,—,2041
3011100,淡水观赏鱼,344,俄罗斯,460,千克,0,—,30178
3011100,淡水观赏鱼,502,美国,3536,千克,0,—,41809
3011100,淡水观赏鱼,601,澳大利亚,393,千克,0,—,20533
3019210,鳗鱼苗,110,中国香港,1,千克,0,—,22440
3019290,"其他活鳗鱼,鱼苗除外",110,中国香港,55960,千克,0,—,1307890
3019290,"其他活鳗鱼,鱼苗除外",116,日本,401580,千克,0,—,12715907
3019290,"其他活鳗鱼,鱼苗除外",132,新加坡,1155,千克,0,—,36548
3019290,"其他活鳗鱼,鱼苗除外",141,越南,71028,千克,0,—,741960
3019390,"其他活鲤科鱼, 鱼苗...",110,中国香港,1990384,千克,0,—,6472504
3019390,"其他活鲤科鱼, 鱼苗...",133,韩国,168228,千克,0,—,441200
3019390,"其他活鲤科鱼, 鱼苗...",141,越南,102200,千克,0,—,370534
3019911,鲈鱼苗,133,韩国,30000,千克,0,—,318000
3019991,活罗非鱼,110,中国香港,45865,千克,0,—,109776
3019992,活鲀,133,韩国,16800,千克,0,—,302010
3019993,其他活鲤科鱼,110,中国香港,536837,千克,0,—,1792408
3019993,其他活鲤科鱼,133,韩国,24120,千克,0,—,70924
3019999,其他活鱼,110,中国香港,594750,千克,0,—,7616471
3019999,其他活鱼,116,日本,7986,千克,0,—,87713
3019999,其他活鱼,122,马来西亚,8394,千克,0,—,112638
3019999,其他活鱼,132,新加坡,9472,千克,0,—,175619
3019999,其他活鱼,133,韩国,1086554,千克,0,—,6204221
3019999,其他活鱼,141,越南,291325,千克,0,—,984859
3019999,其他活鱼,143,中国台湾,9250,千克,0,—,31913
3022300,鲜或冷的鳎鱼,110,中国香港,14986,千克,0,—,108918
3022400,鲜或冷的大菱鲆,110,中国香港,60,千克,0,—,824
3024900,鲜或冷的印度鲭、马鲛...,110,中国香港,840,千克,0,—,5696
3025100,鲜或冷的鳕鱼,133,韩国,337387,千克,0,—,737431
3027300,鲜或冷的鲤科鱼,110,中国香港,240,千克,0,—,1038
3027400,鲜或冷的鳗鱼,110,中国香港,22411,千克,0,—,160864
3027900,鲜或冷的尼罗河鲈鱼及...,110,中国香港,50,千克,0,—,235
3028200,鲜或冷的魟鱼及鳐鱼,133,韩国,47900,千克,0,—,291459
3028910,鲜或冷的带鱼,110,中国香港,5968,千克,0,—,40337
3028920,鲜或冷的黄鱼,110,中国香港,106520,千克,0,—,268790
3028920,鲜或冷的黄鱼,116,日本,938,千克,0,—,6858
3028920,鲜或冷的黄鱼,132,新加坡,20750,千克,0,—,187935
3028920,鲜或冷的黄鱼,143,中国台湾,269950,千克,0,—,1919325
3028920,鲜或冷的黄鱼,502,美国,796,千克,0,—,18894
3028930,鲜或冷的鲳鱼,110,中国香港,85555,千克,0,—,509480
3028990,其他鲜或冷的鱼,110,中国香港,417399,千克,0,—,2358590
3028990,其他鲜或冷的鱼,116,日本,1198,千克,0,—,5049
3028990,其他鲜或冷的鱼,132,新加坡,9670,千克,0,—,95886
3028990,其他鲜或冷的鱼,133,韩国,18950,千克,0,—,47758
3028990,其他鲜或冷的鱼,143,中国台湾,5400,千克,0,—,51840
3028990,其他鲜或冷的鱼,502,美国,6033,千克,0,—,76131
3029100,鲜或冷的鱼肝、鱼卵及...,116,日本,63936,千克,0,—,525003
3029100,鲜或冷的鱼肝、鱼卵及...,133,韩国,437,千克,0,—,7402
3031200,其他冻大麻哈鱼,141,越南,245508,千克,0,—,577522
3031300,冻大西洋鲑鱼及多瑙哲...,110,中国香港,15268,千克,0,—,125835
3031900,其他冻鲑科鱼,344,俄罗斯,37146,千克,0,—,159724
3032300,冻罗非鱼,202,安哥拉,51280,千克,0,—,89365
3032300,冻罗非鱼,206,喀麦隆,97910,千克,0,—,177045
3032300,冻罗非鱼,218,加蓬,124600,千克,0,—,294598
3032300,冻罗非鱼,223,科特迪瓦,528796,千克,0,—,1236111
3032300,冻罗非鱼,240,塞内加尔,20800,千克,0,—,87088
3032300,冻罗非鱼,303,英国,34704,千克,0,—,86884
3032300,冻罗非鱼,502,美国,114533,千克,0,—,178626
3032400,冻鲶鱼,133,韩国,23000,千克,0,—,38410
3032400,冻鲶鱼,240,塞内加尔,26000,千克,0,—,46800
3032400,冻鲶鱼,502,美国,16707,千克,0,—,75390
3033110,冻格陵兰庸鲽鱼,116,日本,235726,千克,0,—,2058464
3033110,冻格陵兰庸鲽鱼,143,中国台湾,21826,千克,0,—,179770
3033200,冻鲽鱼,143,中国台湾,1005,千克,0,—,13175
3033300,冻鳎鱼,133,韩国,166620,千克,0,—,848623
3033900,其他冻比目鱼,116,日本,24816,千克,0,—,77754
3033900,其他冻比目鱼,133,韩国,815661,千克,0,—,2136959
3033900,其他冻比目鱼,143,中国台湾,18240,千克,0,—,46859
3033900,其他冻比目鱼,502,美国,224,千克,0,—,1042
3034100,冻长鳍金枪鱼,136,泰国,224126,千克,0,—,809183
3034100,冻长鳍金枪鱼,141,越南,4051,千克,0,—,10087
3034200,冻黄鳍金枪鱼,116,日本,113074,千克,0,—,609748
3034200,冻黄鳍金枪鱼,141,越南,288208,千克,0,—,732921
3034300,冻鲣鱼或狐鲣,116,日本,647703,千克,0,—,664739
3034300,冻鲣鱼或狐鲣,122,马来西亚,27000,千克,0,—,139050
3034300,冻鲣鱼或狐鲣,136,泰国,494347,千克,0,—,1510117
3034300,冻鲣鱼或狐鲣,141,越南,27000,千克,0,—,81000
3034300,冻鲣鱼或狐鲣,344,俄罗斯,349770,千克,0,—,663082
3034300,冻鲣鱼或狐鲣,601,澳大利亚,24467,千克,0,—,28134
3034400,冻大眼金枪鱼,116,日本,342271,千克,0,—,2555475
3034400,冻大眼金枪鱼,141,越南,8397,千克,0,—,45416
3035100,冻鲱鱼,116,日本,677680,千克,0,—,385869
3035100,冻鲱鱼,133,韩国,95212,千克,0,—,70457
3035100,冻鲱鱼,223,科特迪瓦,967460,千克,0,—,530461
3035300,冻的沙丁鱼、小沙丁鱼...,122,马来西亚,240000,千克,0,—,384000
3035300,冻的沙丁鱼、小沙丁鱼...,132,新加坡,39000,千克,0,—,58500
3035300,冻的沙丁鱼、小沙丁鱼...,136,泰国,1386820,千克,0,—,2671092
3035300,冻的沙丁鱼、小沙丁鱼...,143,中国台湾,151000,千克,0,—,212700
3035300,冻的沙丁鱼、小沙丁鱼...,231,毛里求斯,120070,千克,0,—,178148
3035300,冻的沙丁鱼、小沙丁鱼...,502,美国,69003,千克,0,—,147153
3035300,冻的沙丁鱼、小沙丁鱼...,601,澳大利亚,680000,千克,0,—,1284000
3035300,冻的沙丁鱼、小沙丁鱼...,607,新喀里多尼亚,24000,千克,0,—,40800
3035400,冻鲭鱼,112,印度尼西亚,1758152,千克,0,—,3767320
3035400,冻鲭鱼,116,日本,25203,千克,0,—,53593
3035400,冻鲭鱼,122,马来西亚,365000,千克,0,—,958775
3035400,冻鲭鱼,132,新加坡,26000,千克,0,—,57200
3035400,冻鲭鱼,133,韩国,439000,千克,0,—,235375
3035400,冻鲭鱼,136,泰国,2957020,千克,0,—,6454032
3035400,冻鲭鱼,141,越南,2906679,千克,0,—,4302834
3035400,冻鲭鱼,143,中国台湾,443000,千克,0,—,838987
3035400,冻鲭鱼,212,科摩罗,27000,千克,0,—,21650
3035400,冻鲭鱼,218,加蓬,158400,千克,0,—,348480
3035400,冻鲭鱼,259,马约特,27000,千克,0,—,49680
3035400,冻鲭鱼,344,俄罗斯,1024350,千克,0,—,2849661
3035400,冻鲭鱼,441,苏里南,135000,千克,0,—,289110
3035400,冻鲭鱼,502,美国,5,千克,0,—,5
3035400,冻鲭鱼,601,澳大利亚,476800,千克,0,—,464544
3035500,冻的对称竹荚鱼、新西...,116,日本,14205,千克,0,—,42217
3035700,冻剑鱼,133,韩国,16150,千克,0,—,76365
3035700,冻剑鱼,141,越南,25000,千克,0,—,125600
3035900,冻的鳀鱼、印度鲭、马...,110,中国香港,100230,千克,0,—,2578735
3035900,冻的鳀鱼、印度鲭、马...,116,日本,1096820,千克,0,—,628689
3035900,冻的鳀鱼、印度鲭、马...,122,马来西亚,222552,千克,0,—,955819
3035900,冻的鳀鱼、印度鲭、马...,132,新加坡,13000,千克,0,—,26000
3035900,冻的鳀鱼、印度鲭、马...,133,韩国,2567895,千克,0,—,1108641
3035900,冻的鳀鱼、印度鲭、马...,136,泰国,78000,千克,0,—,257400
3035900,冻的鳀鱼、印度鲭、马...,141,越南,381595,千克,0,—,1509796
3035900,冻的鳀鱼、印度鲭、马...,143,中国台湾,275924,千克,0,—,5698034
3035900,冻的鳀鱼、印度鲭、马...,231,毛里求斯,97930,千克,0,—,206625
3035900,冻的鳀鱼、印度鲭、马...,344,俄罗斯,2253900,千克,0,—,3026226
3036300,冻鳕鱼,133,韩国,48000,千克,0,—,67200
3036700,冻狭鳕鱼,133,韩国,30535,千克,0,—,75056
3038100,冻角鲨及其他鲨鱼,136,泰国,53000,千克,0,—,458400
3038300,冻南极犬牙鱼,502,美国,36159,千克,0,—,1131025
3038400,冻尖吻鲈鱼,122,马来西亚,99000,千克,0,—,695230
3038910,冻带鱼,110,中国香港,9930,千克,0,—,79201
3038910,冻带鱼,133,韩国,24000,千克,0,—,188400
3038910,冻带鱼,143,中国台湾,2290,千克,0,—,19315
3038910,冻带鱼,303,英国,2016,千克,0,—,6996
3038910,冻带鱼,502,美国,1221,千克,0,—,7147
3038920,冻黄鱼,110,中国香港,515638,千克,0,—,3795205
3038920,冻黄鱼,133,韩国,422706,千克,0,—,3432962
3038920,冻黄鱼,143,中国台湾,9825,千克,0,—,114894
3038920,冻黄鱼,303,英国,2709,千克,0,—,13087
3038920,冻黄鱼,502,美国,102786,千克,0,—,862584
3038920,冻黄鱼,601,澳大利亚,1320,千克,0,—,3887
3038930,冻鲳鱼,110,中国香港,70250,千克,0,—,886608
3038930,冻鲳鱼,122,马来西亚,29000,千克,0,—,85610
3038930,冻鲳鱼,132,新加坡,23000,千克,0,—,287900
3038930,冻鲳鱼,143,中国台湾,25142,千克,0,—,615979
3038930,冻鲳鱼,206,喀麦隆,25870,千克,0,—,133511
3038930,冻鲳鱼,223,科特迪瓦,51110,千克,0,—,134119
3038930,冻鲳鱼,502,美国,117908,千克,0,—,590983
3038990,未列名冻鱼,110,中国香港,208934,千克,0,—,1658775
3038990,未列名冻鱼,116,日本,707445,千克,0,—,1758317
3038990,未列名冻鱼,122,马来西亚,923777,千克,0,—,3195037
3038990,未列名冻鱼,132,新加坡,81800,千克,0,—,342440
3038990,未列名冻鱼,133,韩国,6239824,千克,0,—,8080949
3038990,未列名冻鱼,136,泰国,509318,千克,0,—,1568244
3038990,未列名冻鱼,141,越南,846383,千克,0,—,3121775
3038990,未列名冻鱼,143,中国台湾,130990,千克,0,—,767218
3038990,未列名冻鱼,206,喀麦隆,23400,千克,0,—,43992
3038990,未列名冻鱼,223,科特迪瓦,121440,千克,0,—,93975
3038990,未列名冻鱼,231,毛里求斯,54000,千克,0,—,153960
3038990,未列名冻鱼,240,塞内加尔,50340,千克,0,—,629250
3038990,未列名冻鱼,303,英国,39600,千克,0,—,175840
3038990,未列名冻鱼,344,俄罗斯,433331,千克,0,—,1298297
3038990,未列名冻鱼,502,美国,245599,千克,0,—,1404830
3038990,未列名冻鱼,601,澳大利亚,372900,千克,0,—,251137
3039100,冻的鱼肝、鱼卵及鱼精,110,中国香港,3000,千克,0,—,3366
3039100,冻的鱼肝、鱼卵及鱼精,116,日本,20553,千克,0,—,137294
3039100,冻的鱼肝、鱼卵及鱼精,143,中国台湾,37242,千克,0,—,2439351
3039100,冻的鱼肝、鱼卵及鱼精,304,德国,20000,千克,0,—,134295
3039100,冻的鱼肝、鱼卵及鱼精,344,俄罗斯,10006,千克,0,—,70042
3039900,其他冻的可食用鱼杂碎,133,韩国,1550,千克,0,—,2945
3039900,其他冻的可食用鱼杂碎,136,泰国,25000,千克,0,—,26700
3039900,其他冻的可食用鱼杂碎,143,中国台湾,27540,千克,0,—,1321920
3039900,其他冻的可食用鱼杂碎,502,美国,829,千克,0,—,6586
3043900,鲜或冷的鲤科鱼、鳗鱼...,110,中国香港,86736,千克,0,—,353487
3044200,鲜或冷的鳟鱼鱼片,143,中国台湾,760,千克,0,—,2229
3045100,鲜或冷的罗非鱼、鲶鱼...,110,中国香港,438888,千克,0,—,1951303
3045900,其他鲜或冷的鱼肉,110,中国香港,5292,千克,0,—,9108
3045900,其他鲜或冷的鱼肉,116,日本,70,千克,0,—,840
3046100,冻罗非鱼鱼片,110,中国香港,9560,千克,0,—,36923
3046100,冻罗非鱼鱼片,132,新加坡,9240,千克,0,—,29262
3046100,冻罗非鱼鱼片,145,哈萨克斯坦,25000,千克,0,—,51212
3046100,冻罗非鱼鱼片,303,英国,17248,千克,0,—,60698
3046100,冻罗非鱼鱼片,304,德国,23000,千克,0,—,70350
3046100,冻罗非鱼鱼片,502,美国,707413,千克,0,—,2587391
3046211,冻斑点叉尾鮰鱼鱼片,502,美国,111954,千克,0,—,655240
3046290,其他冻鲶鱼鱼片,110,中国香港,5540,千克,0,—,8211
3046300,冻尼罗河鲈鱼鱼片,116,日本,7910,千克,0,—,64831
3046900,冻鲤科鱼、鳗鱼及黑鱼...,110,中国香港,45836,千克,0,—,800544
3046900,冻鲤科鱼、鳗鱼及黑鱼...,132,新加坡,27000,千克,0,—,337200
3046900,冻鲤科鱼、鳗鱼及黑鱼...,143,中国台湾,22400,千克,0,—,295530
3047100,冻鳕鱼鱼片,110,中国香港,6232,千克,0,—,23913
3047100,冻鳕鱼鱼片,116,日本,45625,千克,0,—,343968
3047100,冻鳕鱼鱼片,133,韩国,24950,千克,0,—,162941
