商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1061990,"未列名哺乳动物,改良...",129,菲律宾,1051,千克,110,只,24380
1061990,"未列名哺乳动物,改良...",301,比利时,0,千克,16,只,80
1061990,"未列名哺乳动物,改良...",305,法国,0,千克,13,只,5102
1061990,"未列名哺乳动物,改良...",307,意大利,0,千克,6,只,180
1061990,"未列名哺乳动物,改良...",312,西班牙,0,千克,11,只,16957
1061990,"未列名哺乳动物,改良...",315,奥地利,0,千克,8,只,240
1061990,"未列名哺乳动物,改良...",318,芬兰,1,千克,56,只,58900
1061990,"未列名哺乳动物,改良...",410,巴西,18,千克,1,只,611
1061990,"未列名哺乳动物,改良...",501,加拿大,13,千克,13,只,16846
1062090,未列名爬行动物,118,科威特,114,千克,9500,只,6033
1062090,未列名爬行动物,307,意大利,81,千克,6000,只,5906
1069011,改良种用蛙苗,138,阿联酋,6,千克,100,只,200
2071411,带骨的冻鸡块,124,蒙古,561950,千克,0,—,978764
2071411,带骨的冻鸡块,127,巴基斯坦,55000,千克,0,—,79600
2071419,其他冻鸡块,123,马尔代夫,19200,千克,0,—,34944
2071419,其他冻鸡块,124,蒙古,859863,千克,0,—,1509906
2071419,其他冻鸡块,127,巴基斯坦,82080,千克,0,—,136122
2071419,其他冻鸡块,129,菲律宾,229476,千克,0,—,372251
2071419,其他冻鸡块,138,阿联酋,108000,千克,0,—,205080
2071419,其他冻鸡块,220,加纳,52800,千克,0,—,96864
2071419,其他冻鸡块,340,白俄罗斯,123890,千克,0,—,230667
2071421,冻鸡翼（不包括翼尖）,124,蒙古,43500,千克,0,—,91791
2071429,其他冻鸡杂碎,127,巴基斯坦,110300,千克,0,—,83840
2074200,整只冻鸭,123,马尔代夫,8208,千克,0,—,12066
2081020,冻兔肉，不包括兔头,305,法国,46175,千克,0,—,191443
3011100,淡水观赏鱼,129,菲律宾,422,千克,0,—,13799
3011100,淡水观赏鱼,138,阿联酋,90,千克,0,—,2366
3011100,淡水观赏鱼,305,法国,118,千克,0,—,20275
3011100,淡水观赏鱼,307,意大利,100,千克,0,—,1800
3011100,淡水观赏鱼,309,荷兰,344,千克,0,—,9644
3011100,淡水观赏鱼,327,波兰,63,千克,0,—,8080
3011100,淡水观赏鱼,501,加拿大,50,千克,0,—,7629
3019999,其他活鱼,501,加拿大,420,千克,0,—,10727
3028910,鲜或冷的带鱼,501,加拿大,225,千克,0,—,4725
3028920,鲜或冷的黄鱼,305,法国,300,千克,0,—,2993
3028920,鲜或冷的黄鱼,501,加拿大,1479,千克,0,—,25883
3028930,鲜或冷的鲳鱼(银鲳除...,305,法国,20,千克,0,—,158
3028930,鲜或冷的鲳鱼(银鲳除...,501,加拿大,200,千克,0,—,5600
3028990,其他鲜或冷的鱼,305,法国,380,千克,0,—,2461
3028990,其他鲜或冷的鱼,501,加拿大,942,千克,0,—,12600
3032300,冻罗非鱼,138,阿联酋,49400,千克,0,—,84432
3032300,冻罗非鱼,203,贝宁,100500,千克,0,—,122997
3032300,冻罗非鱼,220,加纳,137500,千克,0,—,362313
3032300,冻罗非鱼,224,肯尼亚,173345,千克,0,—,468785
3032300,冻罗非鱼,233,莫桑比克,26500,千克,0,—,53000
3032300,冻罗非鱼,235,尼日尔,52000,千克,0,—,160600
3032300,冻罗非鱼,244,南非,41500,千克,0,—,73886
3032300,冻罗非鱼,252,刚果民主共和国,179400,千克,0,—,348192
3032300,冻罗非鱼,301,比利时,34000,千克,0,—,53971
3032300,冻罗非鱼,305,法国,182158,千克,0,—,305436
3032300,冻罗非鱼,307,意大利,145416,千克,0,—,261890
3032300,冻罗非鱼,309,荷兰,87297,千克,0,—,126431
3032300,冻罗非鱼,312,西班牙,49891,千克,0,—,115066
3032300,冻罗非鱼,429,墨西哥,100194,千克,0,—,178193
3032300,冻罗非鱼,501,加拿大,163139,千克,0,—,298745
3032400,冻鲶鱼,252,刚果民主共和国,70200,千克,0,—,102024
3032500,冻鲤科鱼,501,加拿大,918,千克,0,—,3157
3032600,冻鳗鱼,309,荷兰,26000,千克,0,—,273000
3032600,冻鳗鱼,327,波兰,59600,千克,0,—,509380
3032600,冻鳗鱼,501,加拿大,1120,千克,0,—,8960
3033900,其他冻比目鱼,244,南非,3200,千克,0,—,11200
3034100,冻长鳍金枪鱼,312,西班牙,108000,千克,0,—,358560
3034200,冻黄鳍金枪鱼,129,菲律宾,32040,千克,0,—,181895
3034300,冻鲣,129,菲律宾,56000,千克,0,—,177200
3035300,冻的沙丁鱼、小沙丁鱼...,129,菲律宾,207000,千克,0,—,314900
3035300,冻的沙丁鱼、小沙丁鱼...,244,南非,82000,千克,0,—,154250
3035300,冻的沙丁鱼、小沙丁鱼...,442,特立尼达和多巴哥,108000,千克,0,—,243000
3035300,冻的沙丁鱼、小沙丁鱼...,614,汤加,27000,千克,0,—,52650
3035300,冻的沙丁鱼、小沙丁鱼...,621,马绍尔群岛,208750,千克,0,—,344325
3035400,冻鲭鱼,129,菲律宾,6561848,千克,0,—,13324556
3035400,冻鲭鱼,138,阿联酋,27200,千克,0,—,130560
3035400,冻鲭鱼,220,加纳,647985,千克,0,—,1114808
3035400,冻鲭鱼,224,肯尼亚,378000,千克,0,—,756810
3035400,冻鲭鱼,233,莫桑比克,51000,千克,0,—,52530
3035400,冻鲭鱼,244,南非,54000,千克,0,—,121500
3035400,冻鲭鱼,501,加拿大,23551,千克,0,—,55990
3035400,冻鲭鱼,617,萨摩亚,110000,千克,0,—,159060
3035500,冻的对称竹荚鱼、新西...,129,菲律宾,17000,千克,0,—,40800
3035500,冻的对称竹荚鱼、新西...,233,莫桑比克,54000,千克,0,—,72880
3035700,冻剑鱼,307,意大利,23000,千克,0,—,164500
3035700,冻剑鱼,405,巴巴多斯,21000,千克,0,—,82247
