商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1029090,"其他牛,改良种用除外",121,中国澳门,75610,千克,108,头,357684
1039200,"其他猪,重量≥50k...",121,中国澳门,970670,千克,9650,头,2609297
1062020,食用爬行动物,121,中国澳门,1145,千克,1145,只,7295
1062090,未列名爬行动物,308,卢森堡,48,千克,8000,只,11400
1062090,未列名爬行动物,352,捷克,25,千克,5000,只,14165
1069090,"其他活动物,改良种用...",121,中国澳门,6975,千克,46500,只,8897
2031900,其他鲜或冷的猪肉,121,中国澳门,88678,千克,0,—,371918
2032900,其他冻猪肉,121,中国澳门,258985,千克,0,—,1265337
2044300,冻去骨绵羊肉,115,以色列,7000,千克,0,—,62900
2071100,"整只鸡,鲜或冷的",121,中国澳门,724539,千克,0,—,2652823
2071200,"整只鸡,冻的",121,中国澳门,64672,千克,0,—,230383
2071311,鲜或冷的带骨鸡块,121,中国澳门,26084,千克,0,—,99271
2071329,鲜或冷的其他鸡杂碎,121,中国澳门,4378,千克,0,—,15718
2071411,带骨的冻鸡块,121,中国澳门,46050,千克,0,—,71157
2071419,其他冻鸡块,101,阿富汗,812540,千克,0,—,1396077
2071419,其他冻鸡块,107,柬埔寨,19200,千克,0,—,30720
2071419,其他冻鸡块,121,中国澳门,89400,千克,0,—,191535
2071429,其他冻鸡杂碎,101,阿富汗,53040,千克,0,—,39690
2074100,鲜或冷的整只鸭,121,中国澳门,168174,千克,0,—,412669
2074200,整只冻鸭,121,中国澳门,54483,千克,0,—,162290
2074400,鲜或冷的鸭块及杂碎,121,中国澳门,254,千克,0,—,810
2075100,鲜或冷的整只鹅,121,中国澳门,55898,千克,0,—,275393
2075200,整只冻鹅,121,中国澳门,9737,千克,0,—,47407
2075400,鲜或冷的鹅块及杂碎,121,中国澳门,324,千克,0,—,1566
2081020,"冻兔肉,不包括兔头",352,捷克,46000,千克,0,—,205690
2089010,鲜、冷、冻的乳鸽肉及...,121,中国澳门,35914,千克,0,—,198486
2101200,干、熏、盐腌或盐渍猪...,121,中国澳门,1275,千克,0,—,6011
2101900,其他干、熏、盐腌或盐...,121,中国澳门,200,千克,0,—,1478
3011100,淡水观赏鱼,311,葡萄牙,68,千克,0,—,1621
3019390,"其他活鲤科鱼, 鱼苗...",121,中国澳门,191965,千克,0,—,688574
3019991,活罗非鱼,121,中国澳门,18380,千克,0,—,41027
3019993,其他活鲤科鱼,121,中国澳门,161779,千克,0,—,565542
3019999,其他活鱼,121,中国澳门,170865,千克,0,—,527497
3027300,鲜或冷的鲤科鱼,121,中国澳门,3705,千克,0,—,2932
3028920,鲜或冷的黄鱼,121,中国澳门,2325,千克,0,—,24413
3028990,其他鲜或冷的鱼,121,中国澳门,188972,千克,0,—,339203
3032300,冻罗非鱼,115,以色列,50000,千克,0,—,69114
3032300,冻罗非鱼,117,约旦,111000,千克,0,—,221972
3032300,冻罗非鱼,130,卡塔尔,47400,千克,0,—,118920
3032300,冻罗非鱼,131,沙特阿拉伯,24000,千克,0,—,38400
3032300,冻罗非鱼,229,马里,92280,千克,0,—,262195
3032300,冻罗非鱼,236,尼日利亚,152400,千克,0,—,286680
3032300,冻罗非鱼,238,卢旺达,254200,千克,0,—,637590
3032300,冻罗非鱼,247,坦桑尼亚,45000,千克,0,—,166950
3032300,冻罗非鱼,251,布基纳法索,715100,千克,0,—,2634230
3032300,冻罗非鱼,253,赞比亚,278916,千克,0,—,487552
3032400,冻鲶鱼,238,卢旺达,12500,千克,0,—,41000
3032400,冻鲶鱼,251,布基纳法索,37700,千克,0,—,114687
3035100,冻鲱鱼,236,尼日利亚,2000000,千克,0,—,1000000
3035300,冻的沙丁鱼、小沙丁鱼...,232,摩洛哥,27000,千克,0,—,34560
3035300,冻的沙丁鱼、小沙丁鱼...,603,斐济,1056155,千克,0,—,2065038
3035300,冻的沙丁鱼、小沙丁鱼...,613,所罗门群岛,103000,千克,0,—,195700
3035300,冻的沙丁鱼、小沙丁鱼...,623,法属波利尼西亚,295000,千克,0,—,441040
3035400,冻鲭鱼,131,沙特阿拉伯,75170,千克,0,—,126578
3035400,冻鲭鱼,134,斯里兰卡,135000,千克,0,—,132366
3035400,冻鲭鱼,144,东帝汶,166000,千克,0,—,326060
3035400,冻鲭鱼,215,埃及,432000,千克,0,—,912060
3035400,冻鲭鱼,238,卢旺达,454200,千克,0,—,850061
3035400,冻鲭鱼,247,坦桑尼亚,720046,千克,0,—,1250581
3035400,冻鲭鱼,347,乌克兰,52000,千克,0,—,100650
3035900,冻的鳀鱼、印度鲭、马...,103,孟加拉国,25000,千克,0,—,437500
3035900,冻的鳀鱼、印度鲭、马...,134,斯里兰卡,137440,千克,0,—,1125713
3035900,冻的鳀鱼、印度鲭、马...,232,摩洛哥,48000,千克,0,—,43200
3035900,冻的鳀鱼、印度鲭、马...,603,斐济,106650,千克,0,—,328860
3036900,其他冻的犀鳕科、多丝...,343,摩尔多瓦,23980,千克,0,—,35970
3038400,冻尖吻鲈鱼,131,沙特阿拉伯,24000,千克,0,—,169440
3038920,冻黄鱼,609,新西兰,8000,千克,0,—,53300
3038930,冻鲳鱼,121,中国澳门,10000,千克,0,—,72000
3038930,冻鲳鱼,238,卢旺达,12500,千克,0,—,31500
3038990,未列名冻鱼,106,缅甸,26010,千克,0,—,156060
3038990,未列名冻鱼,117,约旦,43140,千克,0,—,176370
3038990,未列名冻鱼,134,斯里兰卡,104000,千克,0,—,706280
3038990,未列名冻鱼,238,卢旺达,25500,千克,0,—,153000
3038990,未列名冻鱼,247,坦桑尼亚,56000,千克,0,—,98400
3038990,未列名冻鱼,302,丹麦,4400,千克,0,—,20625
3038990,未列名冻鱼,311,葡萄牙,114932,千克,0,—,289285
3038990,未列名冻鱼,347,乌克兰,50100,千克,0,—,296120
3038990,未列名冻鱼,418,多米尼加,25061,千克,0,—,53652
3038990,未列名冻鱼,609,新西兰,8000,千克,0,—,54259
3043900,鲜或冷的鲤科鱼、鳗鱼...,121,中国澳门,20250,千克,0,—,65673
3045100,鲜或冷的罗非鱼、鲶鱼...,121,中国澳门,22325,千克,0,—,105254
3046100,冻罗非鱼鱼片,115,以色列,1921124,千克,0,—,5321655
3046100,冻罗非鱼鱼片,117,约旦,8000,千克,0,—,25802
3046100,冻罗非鱼鱼片,238,卢旺达,24500,千克,0,—,77263
3046100,冻罗非鱼鱼片,302,丹麦,21000,千克,0,—,74280
3046100,冻罗非鱼鱼片,347,乌克兰,26500,千克,0,—,100715
3046100,冻罗非鱼鱼片,352,捷克,47000,千克,0,—,200742
3046100,冻罗非鱼鱼片,412,智利,59482,千克,0,—,210596
3046100,冻罗非鱼鱼片,413,哥伦比亚,113603,千克,0,—,359608
3046100,冻罗非鱼鱼片,426,洪都拉斯,58048,千克,0,—,234716
3046100,冻罗非鱼鱼片,432,巴拿马,11200,千克,0,—,34460
3046100,冻罗非鱼鱼片,434,秘鲁,174280,千克,0,—,634464
3046100,冻罗非鱼鱼片,449,博纳尔圣俄斯塔休斯和萨巴,19567,千克,0,—,67552
3047100,冻鳕鱼鱼片,311,葡萄牙,45210,千克,0,—,201498
3047100,冻鳕鱼鱼片,330,瑞典,313798,千克,0,—,2574180
3047100,冻鳕鱼鱼片,412,智利,12800,千克,0,—,89600
3047100,冻鳕鱼鱼片,609,新西兰,450,千克,0,—,2250
3047200,冻黑线鳕鱼鱼片,330,瑞典,59025,千克,0,—,419898
3047300,冻绿青鳕鱼鱼片,131,沙特阿拉伯,8450,千克,0,—,26000
3047300,冻绿青鳕鱼鱼片,311,葡萄牙,7491,千克,0,—,16978
3047300,冻绿青鳕鱼鱼片,330,瑞典,262701,千克,0,—,1883846
3047300,冻绿青鳕鱼鱼片,412,智利,4000,千克,0,—,9824
3047400,冻狗鳕鱼鱼片,131,沙特阿拉伯,10000,千克,0,—,30000
3047400,冻狗鳕鱼鱼片,311,葡萄牙,9600,千克,0,—,21932
3047400,冻狗鳕鱼鱼片,328,罗马尼亚,15084,千克,0,—,24134
3047400,冻狗鳕鱼鱼片,330,瑞典,19800,千克,0,—,55380
3047400,冻狗鳕鱼鱼片,343,摩尔多瓦,7304,千克,0,—,16799
3047400,冻狗鳕鱼鱼片,347,乌克兰,17500,千克,0,—,40250
3047400,冻狗鳕鱼鱼片,412,智利,92528,千克,0,—,215903
3047500,冻狭鳕鱼鱼片,115,以色列,13780,千克,0,—,22275
3047500,冻狭鳕鱼鱼片,131,沙特阿拉伯,17800,千克,0,—,38160
3047500,冻狭鳕鱼鱼片,134,斯里兰卡,6650,千克,0,—,12998
3047500,冻狭鳕鱼鱼片,201,阿尔及利亚,64400,千克,0,—,124040
3047500,冻狭鳕鱼鱼片,302,丹麦,46000,千克,0,—,176260
3047500,冻狭鳕鱼鱼片,311,葡萄牙,49200,千克,0,—,110479
3047500,冻狭鳕鱼鱼片,328,罗马尼亚,19710,千克,0,—,39111
3047500,冻狭鳕鱼鱼片,330,瑞典,124342,千克,0,—,351123
3047500,冻狭鳕鱼鱼片,343,摩尔多瓦,11250,千克,0,—,24750
3047500,冻狭鳕鱼鱼片,347,乌克兰,93050,千克,0,—,210810
3047500,冻狭鳕鱼鱼片,352,捷克,83573,千克,0,—,157406
3047500,冻狭鳕鱼鱼片,412,智利,22000,千克,0,—,33880
3047500,冻狭鳕鱼鱼片,413,哥伦比亚,31200,千克,0,—,65520
3047500,冻狭鳕鱼鱼片,418,多米尼加,52958,千克,0,—,87765
3047900,其他冻的犀鳕科、多丝...,302,丹麦,42300,千克,0,—,88932
3047900,其他冻的犀鳕科、多丝...,330,瑞典,85236,千克,0,—,381008
3047900,其他冻的犀鳕科、多丝...,609,新西兰,153091,千克,0,—,519604
3048100,冻的大麻哈鱼、大西洋...,311,葡萄牙,26232,千克,0,—,176732
3048100,冻的大麻哈鱼、大西洋...,330,瑞典,17818,千克,0,—,131614
3048100,冻的大麻哈鱼、大西洋...,412,智利,16000,千克,0,—,91001
3048100,冻的大麻哈鱼、大西洋...,418,多米尼加,2722,千克,0,—,21256
3048300,冻比目鱼鱼片,115,以色列,102432,千克,0,—,400223
3048300,冻比目鱼鱼片,311,葡萄牙,34585,千克,0,—,102641
3048300,冻比目鱼鱼片,330,瑞典,60700,千克,0,—,359381
3048300,冻比目鱼鱼片,412,智利,3750,千克,0,—,10500
3048500,冻南极犬牙鱼鱼片,504,百慕大,182,千克,0,—,5831
3048700,冻的金枪鱼、鲣鱼或狐...,609,新西兰,1890,千克,0,—,6048
3048800,冻的角鲨、其他鲨鱼、...,201,阿尔及利亚,25000,千克,0,—,255000
3048900,其他冻鱼片,115,以色列,23800,千克,0,—,379778
3048900,其他冻鱼片,311,葡萄牙,9000,千克,0,—,28929
3048900,其他冻鱼片,328,罗马尼亚,21060,千克,0,—,54660
3048900,其他冻鱼片,335,拉脱维亚,23030,千克,0,—,113949
3048900,其他冻鱼片,347,乌克兰,16000,千克,0,—,28000
3048900,其他冻鱼片,355,波斯尼亚和黑塞哥维那,1200,千克,0,—,13231
3048900,其他冻鱼片,412,智利,133090,千克,0,—,612251
3048900,其他冻鱼片,418,多米尼加,37970,千克,0,—,110781
3048900,其他冻鱼片,504,百慕大,9752,千克,0,—,93437
3048900,其他冻鱼片,609,新西兰,81236,千克,0,—,340801
3049500,冻的犀鳕科、多丝真鳕...,609,新西兰,16171,千克,0,—,31644
3049900,其他冻鱼肉,330,瑞典,8023,千克,0,—,40919
3049900,其他冻鱼肉,609,新西兰,4344,千克,0,—,11587
3052000,干、熏、盐腌或盐渍的...,343,摩尔多瓦,1000,千克,0,—,13500
3052000,干、熏、盐腌或盐渍的...,347,乌克兰,33800,千克,0,—,369856
3053200,干、盐腌或盐渍的犀鳕...,311,葡萄牙,209080,千克,0,—,835006
3053200,干、盐腌或盐渍的犀鳕...,418,多米尼加,78117,千克,0,—,235145
3053900,其他干、盐腌或盐渍的...,134,斯里兰卡,39000,千克,0,—,136250
3055990,其他干鱼,134,斯里兰卡,11085,千克,0,—,151310
3055990,其他干鱼,311,葡萄牙,123850,千克,0,—,386598
