商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1012900,"其他马,改良种用除外",116,日本,1200,千克,3,头,387828
1022100,改良种用家牛,601,澳大利亚,1385131,千克,4457,头,58505046
1022900,"其他家牛,改良种用除...",601,澳大利亚,2810119,千克,7651,头,92181925
1061110,改良种用灵长目动物,141,越南,940,千克,400,只,2191432
1061110,改良种用灵长目动物,424,圭亚那,56,千克,8,只,1121888
1061190,"其他灵长目动物,改良...",424,圭亚那,444,千克,298,只,647020
1061211,改良种用鲸、海豚及鼠...,116,日本,685,千克,5,只,3407735
1061910,其他改良种用哺乳动物,304,德国,180,千克,3,只,1075688
1061990,"未列名哺乳动物,改良...",116,日本,382,千克,965,只,1964406
1061990,"未列名哺乳动物,改良...",133,韩国,48,千克,10,只,182307
1061990,"未列名哺乳动物,改良...",143,中国台湾,10,千克,44,只,36408
1061990,"未列名哺乳动物,改良...",303,英国,0,千克,12,只,43585
1061990,"未列名哺乳动物,改良...",304,德国,0,千克,14,只,30049
1061990,"未列名哺乳动物,改良...",424,圭亚那,91,千克,21,只,355499
1061990,"未列名哺乳动物,改良...",502,美国,863,千克,1424,只,2249645
1062020,食用爬行动物,112,印度尼西亚,600,千克,684,只,21636
1062020,食用爬行动物,136,泰国,1672,千克,685,只,58811
1062020,食用爬行动物,143,中国台湾,8908,千克,5620,只,132606
1062090,未列名爬行动物,141,越南,45070,千克,2400,只,933848
1062090,未列名爬行动物,502,美国,700,千克,1500,只,116042
1063210,改良种用鹦形目鸟,424,圭亚那,31,千克,61,只,247166
1063290,"其他鹦形目鸟,改良种...",424,圭亚那,285,千克,190,只,316478
1063910,其他改良种用鸟,136,泰国,456,千克,73,只,733434
1063910,其他改良种用鸟,424,圭亚那,11,千克,21,只,93257
1063990,未列名鸟,221,几内亚,30,千克,30,只,42197
1063990,未列名鸟,424,圭亚那,60,千克,30,只,74548
1064990,"其他昆虫,改良种用除...",502,美国,11,千克,4575,只,12915
1069090,"其他活动物,改良种用...",502,美国,0,千克,27,只,2466
2012000,鲜或冷的带骨牛肉,502,美国,7121,千克,0,—,1132711
2012000,鲜或冷的带骨牛肉,601,澳大利亚,122760,千克,0,—,7673335
2013000,鲜或冷的去骨牛肉,234,纳米比亚,61034,千克,0,—,2575650
2013000,鲜或冷的去骨牛肉,502,美国,266920,千克,0,—,21318568
2013000,鲜或冷的去骨牛肉,601,澳大利亚,2927817,千克,0,—,169310533
2022000,冻带骨牛肉,145,哈萨克斯坦,1041167,千克,0,—,20360657
2022000,冻带骨牛肉,234,纳米比亚,523869,千克,0,—,11046898
2022000,冻带骨牛肉,358,塞尔维亚,144913,千克,0,—,2301098
2022000,冻带骨牛肉,502,美国,78938,千克,0,—,7122077
2022000,冻带骨牛肉,601,澳大利亚,4405746,千克,0,—,88408767
2023000,冻去骨牛肉,145,哈萨克斯坦,597928,千克,0,—,22004992
2023000,冻去骨牛肉,234,纳米比亚,474799,千克,0,—,15236527
2023000,冻去骨牛肉,358,塞尔维亚,222183,千克,0,—,8100605
2023000,冻去骨牛肉,502,美国,910900,千克,0,—,49383689
2023000,冻去骨牛肉,601,澳大利亚,17346655,千克,0,—,730304974
2032200,冻带骨猪前腿、猪后腿...,303,英国,3201476,千克,0,—,56964225
2032200,冻带骨猪前腿、猪后腿...,304,德国,9370576,千克,0,—,152747676
2032200,冻带骨猪前腿、猪后腿...,502,美国,8264093,千克,0,—,123290603
2032900,其他冻猪肉,303,英国,4658508,千克,0,—,86840858
2032900,其他冻猪肉,304,德国,29590332,千克,0,—,601611503
2032900,其他冻猪肉,502,美国,40111496,千克,0,—,734024265
2041000,鲜或冷的整头及半头羔...,601,澳大利亚,75141,千克,0,—,3510602
2042100,鲜或冷的整头及半头绵...,601,澳大利亚,74749,千克,0,—,2733237
2042200,鲜或冷的带骨绵羊肉,601,澳大利亚,1171,千克,0,—,188423
2042300,鲜或冷的去骨绵羊肉,601,澳大利亚,7787,千克,0,—,574006
2043000,冻整头及半头羔羊肉,601,澳大利亚,187671,千克,0,—,8165798
2044100,冻整头及半头绵羊肉,601,澳大利亚,115236,千克,0,—,3623092
2044200,冻带骨绵羊肉,601,澳大利亚,15873746,千克,0,—,578773391
2044300,冻去骨绵羊肉,601,澳大利亚,2476544,千克,0,—,97140773
2062100,冻牛舌,502,美国,8682,千克,0,—,797422
2062200,冻牛肝,502,美国,481,千克,0,—,41641
2062900,其他冻牛杂碎,502,美国,3642,千克,0,—,142740
2062900,其他冻牛杂碎,601,澳大利亚,491758,千克,0,—,12203456
2064900,其他冻猪杂碎,303,英国,3672251,千克,0,—,49391309
2064900,其他冻猪杂碎,304,德国,17427217,千克,0,—,262508041
2064900,其他冻猪杂碎,502,美国,16880139,千克,0,—,200769380
2069000,其他冻杂碎（牛、猪杂...,601,澳大利亚,195350,千克,0,—,7291917
2071411,带骨的冻鸡块,136,泰国,3581603,千克,0,—,47560981
2071411,带骨的冻鸡块,344,俄罗斯,1027960,千克,0,—,11122963
2071419,其他冻鸡块,136,泰国,973704,千克,0,—,15004017
2071421,冻鸡翼（不包括翼尖）,136,泰国,2880588,千克,0,—,83590403
2071421,冻鸡翼（不包括翼尖）,344,俄罗斯,2621663,千克,0,—,58499397
2071422,冻鸡爪,136,泰国,2508096,千克,0,—,66445258
2071422,冻鸡爪,344,俄罗斯,4204971,千克,0,—,80025044
2071429,其他冻鸡杂碎,136,泰国,597084,千克,0,—,13012916
2071429,其他冻鸡杂碎,344,俄罗斯,340193,千克,0,—,3761832
2072700,"火鸡块及杂碎,冻的",344,俄罗斯,163759,千克,0,—,2568363
2089090,其他鲜、冷、冻的肉及...,601,澳大利亚,11706,千克,0,—,599803
2091000,未炼制或用其他方法提...,303,英国,317510,千克,0,—,3358578
2091000,未炼制或用其他方法提...,304,德国,1332620,千克,0,—,13838774
2091000,未炼制或用其他方法提...,502,美国,332749,千克,0,—,3658382
2109300,干、熏、盐腌或盐渍的...,136,泰国,400,千克,0,—,168954
3011100,淡水观赏鱼,111,印度,76,千克,0,—,32652
3011100,淡水观赏鱼,112,印度尼西亚,4356,千克,0,—,7420674
3011100,淡水观赏鱼,116,日本,575,千克,0,—,200897
3011100,淡水观赏鱼,122,马来西亚,4681,千克,0,—,7109446
3011100,淡水观赏鱼,132,新加坡,120,千克,0,—,269358
3011100,淡水观赏鱼,136,泰国,3306,千克,0,—,524789
3011100,淡水观赏鱼,143,中国台湾,894,千克,0,—,360599
3011100,淡水观赏鱼,304,德国,8,千克,0,—,11704
3011100,淡水观赏鱼,441,苏里南,9,千克,0,—,20487
3011900,其他观赏鱼,112,印度尼西亚,2354,千克,0,—,1601345
3011900,其他观赏鱼,122,马来西亚,14,千克,0,—,15345
3011900,其他观赏鱼,143,中国台湾,36,千克,0,—,3163
3011900,其他观赏鱼,502,美国,394,千克,0,—,100216
3019210,鳗鱼苗,110,中国香港,2515,千克,0,—,8042683
3019290,"其他活鳗鱼,鱼苗除外",111,印度,891,千克,0,—,38482
3019290,"其他活鳗鱼,鱼苗除外",112,印度尼西亚,2163,千克,0,—,187917
3019290,"其他活鳗鱼,鱼苗除外",136,泰国,360,千克,0,—,20194
3019290,"其他活鳗鱼,鱼苗除外",601,澳大利亚,1554,千克,0,—,110555
3019911,鲈鱼苗,143,中国台湾,1389,千克,0,—,178898
3019911,鲈鱼苗,601,澳大利亚,253,千克,0,—,700647
3019919,其他鱼苗,601,澳大利亚,12,千克,0,—,287329
3019999,其他活鱼,112,印度尼西亚,138332,千克,0,—,5416021
3019999,其他活鱼,122,马来西亚,1758,千克,0,—,185553
3019999,其他活鱼,133,韩国,752,千克,0,—,93226
3019999,其他活鱼,136,泰国,9270,千克,0,—,362433
3019999,其他活鱼,143,中国台湾,625155,千克,0,—,18172125
3019999,其他活鱼,502,美国,0,千克,0,—,2304
3019999,其他活鱼,601,澳大利亚,4802,千克,0,—,1060730
3021410,鲜或冷的大西洋鲑鱼,601,澳大利亚,2443160,千克,0,—,134066584
3022200,鲜或冷的鲽鱼,116,日本,4080,千克,0,—,89727
3022900,其他鲜或冷的比目鱼,133,韩国,74428,千克,0,—,948824
3023200,鲜或冷的黄鳍金枪鱼,112,印度尼西亚,25174,千克,0,—,1425140
3023200,鲜或冷的黄鳍金枪鱼,143,中国台湾,77,千克,0,—,1544
3023300,鲜或冷的鲣鱼或狐鲣,116,日本,737,千克,0,—,142474
3023520,鲜或冷的太平洋蓝鳍金...,116,日本,45806,千克,0,—,10717130
3024100,鲜或冷的鲱鱼,133,韩国,89313,千克,0,—,445006
3024400,鲜或冷的鲭鱼,116,日本,1799,千克,0,—,283949
3024500,鲜或冷的对称竹荚鱼、...,116,日本,6716,千克,0,—,987486
3024900,鲜或冷的印度鲭、马鲛...,111,印度,294,千克,0,—,6197
3024900,鲜或冷的印度鲭、马鲛...,112,印度尼西亚,60638,千克,0,—,4991125
3024900,鲜或冷的印度鲭、马鲛...,116,日本,360,千克,0,—,30112
3028910,鲜或冷的带鱼,112,印度尼西亚,52016,千克,0,—,1117157
3028910,鲜或冷的带鱼,113,伊朗,1160,千克,0,—,32535
3028910,鲜或冷的带鱼,116,日本,1132,千克,0,—,134423
3028910,鲜或冷的带鱼,143,中国台湾,3603460,千克,0,—,40229276
3028920,鲜或冷的黄鱼,133,韩国,249,千克,0,—,10384
3028930,鲜或冷的鲳鱼,111,印度,27349,千克,0,—,2048895
3028930,鲜或冷的鲳鱼,116,日本,573,千克,0,—,64151
3028990,其他鲜或冷的鱼,111,印度,49818,千克,0,—,1864863
3028990,其他鲜或冷的鱼,112,印度尼西亚,62262,千克,0,—,3668038
3028990,其他鲜或冷的鱼,116,日本,82753,千克,0,—,5353157
3028990,其他鲜或冷的鱼,133,韩国,32782,千克,0,—,364809
3028990,其他鲜或冷的鱼,143,中国台湾,474985,千克,0,—,8967906
3028990,其他鲜或冷的鱼,145,哈萨克斯坦,180,千克,0,—,2762
3028990,其他鲜或冷的鱼,601,澳大利亚,536,千克,0,—,39686
3031100,冻红大麻哈鱼,344,俄罗斯,24760,千克,0,—,1197270
3031100,冻红大麻哈鱼,502,美国,359289,千克,0,—,15910602
3031200,其他冻大麻哈鱼,116,日本,297080,千克,0,—,7353376
3031200,其他冻大麻哈鱼,344,俄罗斯,2201880,千克,0,—,26610475
3031200,其他冻大麻哈鱼,502,美国,3562904,千克,0,—,53963043
3031900,其他冻鲑科鱼,344,俄罗斯,25146,千克,0,—,269792
3032400,冻鲶鱼,141,越南,3651340,千克,0,—,43522111
3032500,冻鲤科鱼,344,俄罗斯,26595,千克,0,—,260999
3032600,冻鳗鱼,111,印度,474206,千克,0,—,4831630
3032600,冻鳗鱼,113,伊朗,20220,千克,0,—,172878
3032600,冻鳗鱼,122,马来西亚,121649,千克,0,—,1038407
3032600,冻鳗鱼,133,韩国,612,千克,0,—,9039
3032600,冻鳗鱼,136,泰国,7069,千克,0,—,120407
3032600,冻鳗鱼,143,中国台湾,68318,千克,0,—,624609
3032900,冻尼罗河鲈鱼及黑鱼,502,美国,40,千克,0,—,7021
3033110,冻格陵兰庸鲽鱼,116,日本,175168,千克,0,—,7926874
3033110,冻格陵兰庸鲽鱼,304,德国,328236,千克,0,—,15275320
3033110,冻格陵兰庸鲽鱼,344,俄罗斯,418548,千克,0,—,16170148
3033190,其他冻庸鲽鱼,143,中国台湾,1399,千克,0,—,13831
3033190,其他冻庸鲽鱼,344,俄罗斯,232750,千克,0,—,12336372
3033200,冻鲽鱼,240,塞内加尔,53612,千克,0,—,444915
3033300,冻鳎鱼,111,印度,262750,千克,0,—,2470328
3033300,冻鳎鱼,112,印度尼西亚,9970,千克,0,—,96085
3033300,冻鳎鱼,122,马来西亚,22600,千克,0,—,341964
3033300,冻鳎鱼,136,泰国,13410,千克,0,—,156247
3033300,冻鳎鱼,230,毛里塔尼亚,35457,千克,0,—,1025881
3033900,其他冻比目鱼,111,印度,856430,千克,0,—,8340687
3033900,其他冻比目鱼,112,印度尼西亚,16912,千克,0,—,188251
3033900,其他冻比目鱼,116,日本,665320,千克,0,—,5585758
3033900,其他冻比目鱼,122,马来西亚,4750,千克,0,—,26645
3033900,其他冻比目鱼,133,韩国,2730,千克,0,—,42459
3033900,其他冻比目鱼,136,泰国,6753,千克,0,—,72456
3033900,其他冻比目鱼,240,塞内加尔,184628,千克,0,—,2440813
3033900,其他冻比目鱼,344,俄罗斯,2968152,千克,0,—,36185183
3033900,其他冻比目鱼,502,美国,6006268,千克,0,—,71708360
3034200,冻黄鳍金枪鱼,111,印度,54203,千克,0,—,669240
3034200,冻黄鳍金枪鱼,133,韩国,35497,千克,0,—,499284
3034400,冻大眼金枪鱼,133,韩国,13414,千克,0,—,188671
3034510,冻大西洋蓝鳍金枪鱼,133,韩国,11185,千克,0,—,2608626
3035100,冻鲱鱼,133,韩国,128594,千克,0,—,755174
3035100,冻鲱鱼,344,俄罗斯,47933334,千克,0,—,218125034
3035300,冻的沙丁鱼、小沙丁鱼...,116,日本,268908,千克,0,—,2078885
3035300,冻的沙丁鱼、小沙丁鱼...,344,俄罗斯,552548,千克,0,—,1951826
