商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1012900,其他马，改良种用除外,305,法国,3850,千克,8,头,1179092
1012900,其他马，改良种用除外,309,荷兰,30265,千克,141,头,17311540
1022900,其他家牛，改良种用除...,444,乌拉圭,4385215,千克,13085,头,123965317
1061990,"未列名哺乳动物,改良...",312,西班牙,0,千克,17,只,22116
1064990,"其他昆虫,改良种用除...",315,奥地利,0,千克,240,只,1959
1064990,"其他昆虫,改良种用除...",501,加拿大,0,千克,30,只,779
2013000,鲜或冷的去骨牛肉,305,法国,167,千克,0,—,32965
2013000,鲜或冷的去骨牛肉,309,荷兰,501,千克,0,—,74122
2013000,鲜或冷的去骨牛肉,444,乌拉圭,217834,千克,0,—,7981810
2022000,冻带骨牛肉,244,南非,300740,千克,0,—,5015644
2022000,冻带骨牛肉,340,白俄罗斯,734256,千克,0,—,12456644
2022000,冻带骨牛肉,415,哥斯达黎加,469729,千克,0,—,7552717
2022000,冻带骨牛肉,444,乌拉圭,12012156,千克,0,—,204137449
2023000,冻去骨牛肉,244,南非,451504,千克,0,—,12301786
2023000,冻去骨牛肉,309,荷兰,3365,千克,0,—,240061
2023000,冻去骨牛肉,336,立陶宛,25149,千克,0,—,878341
2023000,冻去骨牛肉,340,白俄罗斯,666228,千克,0,—,19261542
2023000,冻去骨牛肉,408,玻利维亚,2286871,千克,0,—,74787512
2023000,冻去骨牛肉,410,巴西,61159261,千克,0,—,1978903024
2023000,冻去骨牛肉,415,哥斯达黎加,365278,千克,0,—,14293334
2023000,冻去骨牛肉,429,墨西哥,23848,千克,0,—,1112363
2023000,冻去骨牛肉,444,乌拉圭,11495642,千克,0,—,370789525
2023000,冻去骨牛肉,501,加拿大,2250077,千克,0,—,120086906
2031200,鲜或冷的带骨猪前腿、...,501,加拿大,13007,千克,0,—,297010
2031900,其他鲜或冷的猪肉,501,加拿大,180560,千克,0,—,4483580
2032190,其他冻整头及半头猪肉,305,法国,66459,千克,0,—,990642
2032190,其他冻整头及半头猪肉,312,西班牙,24617,千克,0,—,344944
2032200,冻带骨猪前腿、猪后腿...,305,法国,4090547,千克,0,—,69314833
2032200,冻带骨猪前腿、猪后腿...,306,爱尔兰,2336423,千克,0,—,43256285
2032200,冻带骨猪前腿、猪后腿...,309,荷兰,10821701,千克,0,—,193867892
2032200,冻带骨猪前腿、猪后腿...,312,西班牙,28274857,千克,0,—,514646335
2032200,冻带骨猪前腿、猪后腿...,315,奥地利,1302534,千克,0,—,24440770
2032200,冻带骨猪前腿、猪后腿...,318,芬兰,962793,千克,0,—,16293724
2032200,冻带骨猪前腿、猪后腿...,410,巴西,1256001,千克,0,—,19970521
2032200,冻带骨猪前腿、猪后腿...,429,墨西哥,3335097,千克,0,—,60697771
2032200,冻带骨猪前腿、猪后腿...,501,加拿大,13768411,千克,0,—,239556738
2032900,其他冻猪肉,305,法国,11761893,千克,0,—,259658343
2032900,其他冻猪肉,306,爱尔兰,5319199,千克,0,—,102459688
2032900,其他冻猪肉,307,意大利,2363199,千克,0,—,62609453
2032900,其他冻猪肉,309,荷兰,17373566,千克,0,—,350578550
2032900,其他冻猪肉,312,西班牙,74082423,千克,0,—,1496862508
2032900,其他冻猪肉,315,奥地利,3670820,千克,0,—,66858970
2032900,其他冻猪肉,318,芬兰,1291714,千克,0,—,21797367
2032900,其他冻猪肉,410,巴西,41505401,千克,0,—,888586404
2032900,其他冻猪肉,429,墨西哥,5608735,千克,0,—,105333111
2032900,其他冻猪肉,501,加拿大,14395330,千克,0,—,271871614
2043000,冻整头及半头羔羊肉,444,乌拉圭,1210351,千克,0,—,41901332
2044100,冻整头及半头绵羊肉,444,乌拉圭,246801,千克,0,—,8085398
2044200,冻带骨绵羊肉,444,乌拉圭,476269,千克,0,—,15497410
2044300,冻去骨绵羊肉,444,乌拉圭,8198,千克,0,—,128795
2050000,鲜、冷、冻的马、驴、...,124,蒙古,950000,千克,0,—,12350000
2050000,鲜、冷、冻的马、驴、...,410,巴西,27482,千克,0,—,464787
2062900,其他冻牛杂碎,244,南非,1020,千克,0,—,28532
2062900,其他冻牛杂碎,415,哥斯达黎加,51063,千克,0,—,1482559
2062900,其他冻牛杂碎,444,乌拉圭,864089,千克,0,—,25089379
2064100,冻猪肝,305,法国,152200,千克,0,—,993270
2064100,冻猪肝,306,爱尔兰,51975,千克,0,—,342678
2064100,冻猪肝,309,荷兰,54000,千克,0,—,351065
2064100,冻猪肝,312,西班牙,583950,千克,0,—,3936673
2064100,冻猪肝,501,加拿大,50166,千克,0,—,358702
2064900,其他冻猪杂碎,305,法国,7712779,千克,0,—,127921584
2064900,其他冻猪杂碎,306,爱尔兰,3031726,千克,0,—,45842234
2064900,其他冻猪杂碎,307,意大利,1188401,千克,0,—,23626330
2064900,其他冻猪杂碎,309,荷兰,9608139,千克,0,—,157331830
2064900,其他冻猪杂碎,312,西班牙,22489821,千克,0,—,374485492
2064900,其他冻猪杂碎,318,芬兰,731425,千克,0,—,10531431
2064900,其他冻猪杂碎,410,巴西,1347313,千克,0,—,23759948
2064900,其他冻猪杂碎,429,墨西哥,345840,千克,0,—,7511520
2064900,其他冻猪杂碎,501,加拿大,3630527,千克,0,—,57446692
2069000,其他冻杂碎（牛、猪杂...,444,乌拉圭,36192,千克,0,—,724086
2071411,带骨的冻鸡块,340,白俄罗斯,77040,千克,0,—,845666
2071411,带骨的冻鸡块,410,巴西,14183040,千克,0,—,106482839
2071419,其他冻鸡块,410,巴西,171783,千克,0,—,2015638
2071421,冻鸡翼（不包括翼尖）,340,白俄罗斯,497279,千克,0,—,10503827
2071421,冻鸡翼（不包括翼尖）,410,巴西,12904852,千克,0,—,309059003
2071422,冻鸡爪,137,土耳其,658584,千克,0,—,7387726
2071422,冻鸡爪,340,白俄罗斯,1283380,千克,0,—,17257192
2071422,冻鸡爪,410,巴西,11797672,千克,0,—,155575425
2071429,其他冻鸡杂碎,137,土耳其,52000,千克,0,—,284754
2071429,其他冻鸡杂碎,340,白俄罗斯,131040,千克,0,—,581837
2071429,其他冻鸡杂碎,410,巴西,4670228,千克,0,—,32817353
2091000,未炼制或用其他方法提...,305,法国,1060315,千克,0,—,14773981
2091000,未炼制或用其他方法提...,306,爱尔兰,573631,千克,0,—,6970071
2091000,未炼制或用其他方法提...,307,意大利,956112,千克,0,—,14831287
2091000,未炼制或用其他方法提...,309,荷兰,1436712,千克,0,—,19370052
2091000,未炼制或用其他方法提...,312,西班牙,9752870,千克,0,—,133918037
2091000,未炼制或用其他方法提...,315,奥地利,280676,千克,0,—,3807528
2091000,未炼制或用其他方法提...,318,芬兰,77960,千克,0,—,835766
2091000,未炼制或用其他方法提...,410,巴西,166000,千克,0,—,2345151
2091000,未炼制或用其他方法提...,429,墨西哥,792730,千克,0,—,10550497
2091000,未炼制或用其他方法提...,501,加拿大,2088167,千克,0,—,30372959
2101110,干、熏、盐腌或盐渍带...,312,西班牙,11115,千克,0,—,2844339
2101190,干、熏、盐腌或盐渍其...,312,西班牙,1399,千克,0,—,223958
2101900,其他干、熏、盐腌或盐...,307,意大利,20697,千克,0,—,2267922
2101900,其他干、熏、盐腌或盐...,312,西班牙,55000,千克,0,—,8957978
3011100,淡水观赏鱼,410,巴西,378,千克,0,—,391076
3011900,其他观赏鱼,123,马尔代夫,87,千克,0,—,62653
3011900,其他观赏鱼,129,菲律宾,579,千克,0,—,332425
3019999,其他活鱼,129,菲律宾,702080,千克,0,—,29385272
3021410,鲜或冷的大西洋鲑鱼,326,挪威,2277517,千克,0,—,162842400
3021410,鲜或冷的大西洋鲑鱼,357,法罗群岛,675765,千克,0,—,48225395
3021410,鲜或冷的大西洋鲑鱼,501,加拿大,79409,千克,0,—,4888729
3023510,鲜或冷的大西洋蓝鳍金...,312,西班牙,1305,千克,0,—,231869
3028990,其他鲜或冷的鱼,129,菲律宾,95959,千克,0,—,5957983
3031400,冻鳟鱼,326,挪威,102670,千克,0,—,4598729
3031900,其他冻鲑科鱼,501,加拿大,19584,千克,0,—,509544
3033110,冻马舌鲽(格陵兰庸鲽...,312,西班牙,892696,千克,0,—,29469804
3033110,冻马舌鲽(格陵兰庸鲽...,326,挪威,645292,千克,0,—,19976050
3033110,冻马舌鲽(格陵兰庸鲽...,357,法罗群岛,88080,千克,0,—,2399045
3033110,冻马舌鲽(格陵兰庸鲽...,501,加拿大,227345,千克,0,—,6917063
3033110,冻马舌鲽(格陵兰庸鲽...,503,格陵兰,1299097,千克,0,—,41755631
3033300,冻鳎鱼,127,巴基斯坦,31900,千克,0,—,472019
3033900,其他冻比目鱼,127,巴基斯坦,706414,千克,0,—,8303939
3033900,其他冻比目鱼,501,加拿大,19426,千克,0,—,136347
3035100,冻鲱鱼,501,加拿大,234613,千克,0,—,3408901
3035300,冻的沙丁鱼、小沙丁鱼...,127,巴基斯坦,130310,千克,0,—,480979
3035300,冻的沙丁鱼、小沙丁鱼...,429,墨西哥,108000,千克,0,—,668297
3035400,冻鲭鱼,306,爱尔兰,1187000,千克,0,—,14541622
3035400,冻鲭鱼,326,挪威,2046500,千克,0,—,22669109
3035400,冻鲭鱼,503,格陵兰,60114,千克,0,—,607732
3035500,冻的对称竹荚鱼、新西...,305,法国,22722,千克,0,—,266834
3035500,冻的对称竹荚鱼、新西...,309,荷兰,144837,千克,0,—,1549549
3035500,冻的对称竹荚鱼、新西...,326,挪威,399360,千克,0,—,4893483
3035990,冻鳀鱼(鳀属）、冻印...,127,巴基斯坦,7752,千克,0,—,126302
3035990,冻鳀鱼(鳀属）、冻印...,129,菲律宾,1752,千克,0,—,39973
3035990,冻鳀鱼(鳀属）、冻印...,326,挪威,2979600,千克,0,—,50051190
3035990,冻鳀鱼(鳀属）、冻印...,357,法罗群岛,577628,千克,0,—,10049267
3036300,冻鳕鱼,326,挪威,2829904,千克,0,—,67891256
3036300,冻鳕鱼,503,格陵兰,127411,千克,0,—,2515005
3036400,冻黑线鳕鱼,326,挪威,776880,千克,0,—,14033255
3036400,冻黑线鳕鱼,503,格陵兰,103800,千克,0,—,1826536
3036500,冻绿青鳕鱼,326,挪威,830101,千克,0,—,28278960
3036600,冻狗鳕鱼,429,墨西哥,108000,千克,0,—,980342
3036600,冻狗鳕鱼,501,加拿大,394745,千克,0,—,3038925
3036800,冻蓝鳕鱼,309,荷兰,389219,千克,0,—,1739516
3036800,冻蓝鳕鱼,357,法罗群岛,1190086,千克,0,—,5123083
3038300,冻南极犬牙鱼,305,法国,261276,千克,0,—,30356770
3038300,冻南极犬牙鱼,312,西班牙,27955,千克,0,—,3241854
3038910,冻带鱼,127,巴基斯坦,81620,千克,0,—,1529722
3038910,冻带鱼,129,菲律宾,16973,千克,0,—,442913
3038910,冻带鱼,410,巴西,51590,千克,0,—,593437
3038990,未列名冻鱼,127,巴基斯坦,1445179,千克,0,—,14971896
3038990,未列名冻鱼,129,菲律宾,10584,千克,0,—,139552
3038990,未列名冻鱼,326,挪威,1062819,千克,0,—,12097139
3038990,未列名冻鱼,410,巴西,220940,千克,0,—,3401334
3039200,冻鲨鱼翅,312,西班牙,20963,千克,0,—,670148
3039900,其他冻的可食用鱼杂碎,305,法国,12012,千克,0,—,148209
3039900,其他冻的可食用鱼杂碎,312,西班牙,174740,千克,0,—,3911580
3039900,其他冻的可食用鱼杂碎,326,挪威,502441,千克,0,—,6583626
3039900,其他冻的可食用鱼杂碎,327,波兰,236038,千克,0,—,2079523
3039900,其他冻的可食用鱼杂碎,357,法罗群岛,32825,千克,0,—,650715
3039900,其他冻的可食用鱼杂碎,501,加拿大,248933,千克,0,—,6596141
3039900,其他冻的可食用鱼杂碎,503,格陵兰,296364,千克,0,—,5909072
3044100,鲜或冷的大麻哈鱼、大...,326,挪威,1802,千克,0,—,165573
3045900,其他鲜或冷的鱼肉,312,西班牙,151,千克,0,—,55931
3048500,冻南极犬牙鱼鱼片,312,西班牙,373,千克,0,—,55196
3048900,其他冻鱼片,501,加拿大,18930,千克,0,—,445738
3049200,冻南极犬牙鱼鱼肉,305,法国,3426,千克,0,—,41797
3049200,冻南极犬牙鱼鱼肉,312,西班牙,5829,千克,0,—,194374
3049900,其他冻鱼肉,127,巴基斯坦,318000,千克,0,—,3499511
3049900,其他冻鱼肉,503,格陵兰,53200,千克,0,—,1733600
3051000,适合供人食用的鱼的细...,326,挪威,1050,千克,0,—,60201
3057100,鲨鱼翅,127,巴基斯坦,7878,千克,0,—,412317
3057900,其他鱼鳍及其他可食用...,326,挪威,324614,千克,0,—,2521563
3061100,冻的岩礁虾和其他龙虾,305,法国,28001,千克,0,—,3573107
3061200,冻鳌龙虾,501,加拿大,31326,千克,0,—,2538888
