商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1013090,"其他驴,改良种用除外",146,吉尔吉斯斯坦,198640,千克,1742,头,1079226
1022100,改良种用家牛,609,新西兰,1049600,千克,3153,头,36667537
1051110,"改良种用鸡,改良种用...",609,新西兰,1484,千克,43073,只,4336426
1061110,改良种用灵长目动物,352,捷克,7,千克,2,只,27548
1061190,"其他灵长目动物,改良...",352,捷克,53,千克,16,只,146004
1061910,其他改良种用哺乳动物,246,苏丹,60,千克,40,只,192836
1061910,其他改良种用哺乳动物,353,斯洛伐克,128,千克,6,只,53719
1061910,其他改良种用哺乳动物,434,秘鲁,70,千克,10,只,58539
1062090,未列名爬行动物,215,埃及,750,千克,50,只,103305
1062090,未列名爬行动物,434,秘鲁,700,千克,20000,只,206610
1064190,"其他蜂,改良种用除外",353,斯洛伐克,400,千克,63800,只,158195
1064990,"其他昆虫,改良种用除...",331,瑞士,0,千克,18510,只,119892
2022000,冻带骨牛肉,412,智利,251805,千克,0,—,5070869
2022000,冻带骨牛肉,609,新西兰,1670691,千克,0,—,32080508
2023000,冻去骨牛肉,402,阿根廷,5829237,千克,0,—,168086707
2023000,冻去骨牛肉,412,智利,96978,千克,0,—,3190284
2023000,冻去骨牛肉,609,新西兰,4596651,千克,0,—,167927413
2032200,冻带骨猪前腿、猪后腿...,302,丹麦,1020051,千克,0,—,11630000
2032200,冻带骨猪前腿、猪后腿...,328,罗马尼亚,171890,千克,0,—,2469829
2032200,冻带骨猪前腿、猪后腿...,412,智利,2198174,千克,0,—,29029407
2032900,其他冻猪肉,302,丹麦,5494241,千克,0,—,81168693
2032900,其他冻猪肉,328,罗马尼亚,763783,千克,0,—,8686448
2032900,其他冻猪肉,412,智利,2323980,千克,0,—,25296759
2044100,冻整头及半头绵羊肉,609,新西兰,710941,千克,0,—,16904812
2044200,冻带骨绵羊肉,412,智利,224382,千克,0,—,5797523
2044200,冻带骨绵羊肉,609,新西兰,18189998,千克,0,—,506760171
2044300,冻去骨绵羊肉,412,智利,5877,千克,0,—,110747
2044300,冻去骨绵羊肉,609,新西兰,1428155,千克,0,—,26576427
2062900,其他冻牛杂碎,609,新西兰,307157,千克,0,—,7303024
2064900,其他冻猪杂碎,302,丹麦,11857122,千克,0,—,134230889
2064900,其他冻猪杂碎,328,罗马尼亚,1125596,千克,0,—,10706761
2064900,其他冻猪杂碎,412,智利,2659608,千克,0,—,30132390
2069000,其他冻杂碎（牛、猪杂...,609,新西兰,349259,千克,0,—,5811299
2071200,"整只鸡,冻的",402,阿根廷,163037,千克,0,—,1180307
2071411,带骨的冻鸡块,402,阿根廷,147405,千克,0,—,1485354
2071421,冻鸡翼（不包括翼尖）,402,阿根廷,2185055,千克,0,—,34197168
2071421,冻鸡翼（不包括翼尖）,412,智利,410774,千克,0,—,9793816
2071422,冻鸡爪,402,阿根廷,2109535,千克,0,—,33162357
2071422,冻鸡爪,412,智利,772204,千克,0,—,13456570
2071429,其他冻鸡杂碎,402,阿根廷,121180,千克,0,—,587464
2071429,其他冻鸡杂碎,412,智利,192000,千克,0,—,1901363
2089090,其他鲜、冷、冻的肉及...,609,新西兰,39483,千克,0,—,1328378
2091000,未炼制或用其他方法提...,302,丹麦,1483218,千克,0,—,8456150
2091000,未炼制或用其他方法提...,328,罗马尼亚,146620,千克,0,—,903931
2091000,未炼制或用其他方法提...,412,智利,263786,千克,0,—,1681823
3011100,淡水观赏鱼,247,坦桑尼亚,231,千克,0,—,11236
3011100,淡水观赏鱼,413,哥伦比亚,379,千克,0,—,133339
3011100,淡水观赏鱼,434,秘鲁,550,千克,0,—,222403
3011900,其他观赏鱼,134,斯里兰卡,77,千克,0,—,19250
3019210,鳗鱼苗,232,摩洛哥,930,千克,0,—,638575
3019290,"其他活鳗鱼,鱼苗除外",106,缅甸,48,千克,0,—,3098
3019290,"其他活鳗鱼,鱼苗除外",609,新西兰,1088,千克,0,—,63500
3019999,其他活鱼,103,孟加拉国,462735,千克,0,—,12385082
3021300,鲜或冷的大麻哈鱼,609,新西兰,16757,千克,0,—,1755634
3021410,鲜或冷的大西洋鲑鱼,412,智利,487482,千克,0,—,34956741
3023200,鲜或冷的黄鳍金枪鱼,134,斯里兰卡,2232,千克,0,—,192019
3028990,其他鲜或冷的鱼,134,斯里兰卡,472,千克,0,—,22243
3031300,冻大西洋鲑鱼及多瑙哲...,412,智利,1100989,千克,0,—,59568587
3031400,冻鳟鱼,412,智利,201618,千克,0,—,12355079
3033110,冻格陵兰庸鲽鱼,302,丹麦,79650,千克,0,—,3117558
3033110,冻格陵兰庸鲽鱼,311,葡萄牙,107286,千克,0,—,4487055
3033110,冻格陵兰庸鲽鱼,322,冰岛,16224,千克,0,—,800046
