商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1012900,"其他马,改良种用除外",402,阿根廷,4200,千克,12,头,1819374
1012900,"其他马,改良种用除外",609,新西兰,1650,千克,3,头,20267
1051110,"改良种用鸡,改良种用...",609,新西兰,5100,千克,114576,只,15078569
1061910,其他改良种用哺乳动物,434,秘鲁,140,千克,30,只,216495
1062090,未列名爬行动物,434,秘鲁,870,千克,41500,只,936422
1063910,其他改良种用鸟,229,马里,75,千克,20,只,245971
1063990,未列名鸟,229,马里,227,千克,150,只,102319
1063990,未列名鸟,311,葡萄牙,316,千克,703,只,673952
1064190,"其他蜂,改良种用除外",353,斯洛伐克,896,千克,64000,只,121712
2012000,鲜或冷的带骨牛肉,609,新西兰,9141,千克,0,—,543953
2013000,鲜或冷的去骨牛肉,609,新西兰,625072,千克,0,—,25583515
2022000,冻带骨牛肉,412,智利,583668,千克,0,—,13471193
2022000,冻带骨牛肉,609,新西兰,3155982,千克,0,—,71632742
2023000,冻去骨牛肉,402,阿根廷,22747185,千克,0,—,658439532
2023000,冻去骨牛肉,412,智利,260192,千克,0,—,8964382
2023000,冻去骨牛肉,609,新西兰,12243739,千克,0,—,435827986
2032200,冻带骨猪前腿、猪后腿...,302,丹麦,536776,千克,0,—,4924480
2032200,冻带骨猪前腿、猪后腿...,412,智利,1943778,千克,0,—,21386140
2032900,其他冻猪肉,302,丹麦,6092149,千克,0,—,85859428
2032900,其他冻猪肉,311,葡萄牙,149963,千克,0,—,2096182
2032900,其他冻猪肉,412,智利,2491226,千克,0,—,23513198
2042200,鲜或冷的带骨绵羊肉,609,新西兰,1433,千克,0,—,195500
2042300,鲜或冷的去骨绵羊肉,609,新西兰,2323,千克,0,—,184411
2043000,冻整头及半头羔羊肉,609,新西兰,279088,千克,0,—,10494755
2044100,冻整头及半头绵羊肉,609,新西兰,3417795,千克,0,—,102126195
2044200,冻带骨绵羊肉,609,新西兰,15582951,千克,0,—,483053217
2044300,冻去骨绵羊肉,609,新西兰,531787,千克,0,—,14196178
2062900,其他冻牛杂碎,609,新西兰,567877,千克,0,—,13271333
2064900,其他冻猪杂碎,302,丹麦,10974080,千克,0,—,111593074
2064900,其他冻猪杂碎,412,智利,2958397,千克,0,—,31822872
2069000,其他冻杂碎（牛、猪杂...,609,新西兰,335658,千克,0,—,9429551
2071200,"整只鸡,冻的",402,阿根廷,484197,千克,0,—,3721426
2071411,带骨的冻鸡块,402,阿根廷,1464330,千克,0,—,13561651
2071411,带骨的冻鸡块,412,智利,295568,千克,0,—,3496172
2071421,冻鸡翼（不包括翼尖）,402,阿根廷,3892605,千克,0,—,57300640
2071421,冻鸡翼（不包括翼尖）,412,智利,744853,千克,0,—,15495936
2071422,冻鸡爪,402,阿根廷,2364140,千克,0,—,49215057
2071422,冻鸡爪,412,智利,877868,千克,0,—,20887302
2071429,其他冻鸡杂碎,402,阿根廷,442945,千克,0,—,2783259
2071429,其他冻鸡杂碎,412,智利,288000,千克,0,—,2814102
2072700,"火鸡块及杂碎,冻的",412,智利,836722,千克,0,—,18593351
2089090,其他鲜、冷、冻的肉及...,609,新西兰,79198,千克,0,—,3035766
2091000,未炼制或用其他方法提...,302,丹麦,897592,千克,0,—,6118960
2091000,未炼制或用其他方法提...,412,智利,381280,千克,0,—,2370920
3011100,淡水观赏鱼,236,尼日利亚,54,千克,0,—,39260
3011100,淡水观赏鱼,247,坦桑尼亚,517,千克,0,—,79547
3011100,淡水观赏鱼,413,哥伦比亚,436,千克,0,—,380524
3011100,淡水观赏鱼,434,秘鲁,172,千克,0,—,242508
3011900,其他观赏鱼,134,斯里兰卡,748,千克,0,—,103026
