商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1022100,改良种用家牛,601,澳大利亚,815370,千克,3012,头,6863119
1022900,"其他家牛,改良种用除...",601,澳大利亚,3577477,千克,11148,头,19236650
1031000,改良种用猪,303,英国,20925,千克,465,头,1145750
1051110,"改良种用鸡,改良种用...",502,美国,2644,千克,51880,只,1192782
1061221,改良种用海豹、海狮及...,133,韩国,120,千克,1,只,100000
1061990,"未列名哺乳动物,改良...",116,日本,17,千克,573,只,247704
1061990,"未列名哺乳动物,改良...",304,德国,1,千克,24,只,1145
1061990,"未列名哺乳动物,改良...",502,美国,18,千克,617,只,246392
1062090,未列名爬行动物,502,美国,37,千克,376,只,2263
1064910,改良种用昆虫,502,美国,0,千克,1700,只,164
1064990,"其他昆虫,改良种用除...",502,美国,1,千克,1351,只,2331
1069090,"其他活动物,改良种用...",502,美国,0,千克,39,只,506
2012000,鲜或冷的带骨牛肉,502,美国,3538,千克,0,—,88619
2012000,鲜或冷的带骨牛肉,601,澳大利亚,36669,千克,0,—,568261
2013000,鲜或冷的去骨牛肉,502,美国,206298,千克,0,—,2774847
2013000,鲜或冷的去骨牛肉,601,澳大利亚,2642117,千克,0,—,22148302
2021000,冻整头及半头牛肉,601,澳大利亚,16846,千克,0,—,45484
2022000,冻带骨牛肉,145,哈萨克斯坦,45717,千克,0,—,192613
2022000,冻带骨牛肉,234,纳米比亚,67213,千克,0,—,241753
2022000,冻带骨牛肉,344,俄罗斯,366106,千克,0,—,486692
2022000,冻带骨牛肉,358,塞尔维亚,157131,千克,0,—,323921
2022000,冻带骨牛肉,502,美国,102602,千克,0,—,1099936
2022000,冻带骨牛肉,601,澳大利亚,5147894,千克,0,—,11889008
2023000,冻去骨牛肉,234,纳米比亚,168867,千克,0,—,824802
2023000,冻去骨牛肉,344,俄罗斯,522596,千克,0,—,2699847
2023000,冻去骨牛肉,502,美国,1005200,千克,0,—,8010774
2023000,冻去骨牛肉,601,澳大利亚,15481679,千克,0,—,94128888
2031900,其他鲜或冷的猪肉,502,美国,7527,千克,0,—,38280
2032200,冻带骨猪前腿、猪后腿...,303,英国,3186375,千克,0,—,6446360
2032200,冻带骨猪前腿、猪后腿...,304,德国,11631301,千克,0,—,23357942
2032200,冻带骨猪前腿、猪后腿...,502,美国,27741994,千克,0,—,57324570
2032900,其他冻猪肉,303,英国,7263271,千克,0,—,15209918
2032900,其他冻猪肉,304,德国,41101044,千克,0,—,113604445
