商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1012900,"其他马,改良种用除外",309,荷兰,7180,千克,56,头,90565
1031000,改良种用猪,305,法国,165325,千克,3505,头,7405689
1061910,其他改良种用哺乳动物,309,荷兰,650,千克,42,只,60240
1061990,"未列名哺乳动物,改良...",305,法国,0,千克,8,只,313
1062090,未列名爬行动物,429,墨西哥,950,千克,1550,只,17011
1064990,"其他昆虫,改良种用除...",315,奥地利,0,千克,115,只,97
2013000,鲜或冷的去骨牛肉,305,法国,10387,千克,0,—,178794
2013000,鲜或冷的去骨牛肉,309,荷兰,340,千克,0,—,6281
2013000,鲜或冷的去骨牛肉,444,乌拉圭,31948,千克,0,—,175720
2022000,冻带骨牛肉,244,南非,208952,千克,0,—,439568
2022000,冻带骨牛肉,307,意大利,651,千克,0,—,2506
2022000,冻带骨牛肉,327,波兰,3895,千克,0,—,27414
2022000,冻带骨牛肉,340,白俄罗斯,37936,千克,0,—,141662
2022000,冻带骨牛肉,415,哥斯达黎加,766196,千克,0,—,1914630
2022000,冻带骨牛肉,444,乌拉圭,10092209,千克,0,—,27149531
2023000,冻去骨牛肉,244,南非,510258,千克,0,—,2448083
2023000,冻去骨牛肉,305,法国,126507,千克,0,—,867653
2023000,冻去骨牛肉,306,爱尔兰,1377673,千克,0,—,8633307
2023000,冻去骨牛肉,307,意大利,2440,千克,0,—,26931
2023000,冻去骨牛肉,321,匈牙利,236861,千克,0,—,1243321
2023000,冻去骨牛肉,336,立陶宛,24636,千克,0,—,139427
2023000,冻去骨牛肉,340,白俄罗斯,192183,千克,0,—,926153
2023000,冻去骨牛肉,408,玻利维亚,747154,千克,0,—,3894612
2023000,冻去骨牛肉,410,巴西,85681628,千克,0,—,476812706
2023000,冻去骨牛肉,415,哥斯达黎加,1064374,千克,0,—,5659211
2023000,冻去骨牛肉,429,墨西哥,67024,千克,0,—,508362
2023000,冻去骨牛肉,444,乌拉圭,15189404,千克,0,—,83654048
2023000,冻去骨牛肉,501,加拿大,728426,千克,0,—,6241418
2031900,其他鲜或冷的猪肉,501,加拿大,6486,千克,0,—,42446
2032190,其他冻整头及半头猪肉,312,西班牙,75016,千克,0,—,190039
