商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1022900,其他家牛，改良种用除...,609,新西兰,1608138,千克,4402,头,6759125
1041010,改良种用绵羊,609,新西兰,70895,千克,1289,头,1675700
1041090,其他绵羊，改良种用除...,609,新西兰,4950,千克,90,头,90000
1042090,其他山羊，改良种用除...,609,新西兰,20185,千克,367,头,367000
1051110,改良种用鸡，改良种用...,609,新西兰,8084,千克,183664,只,4855216
1061990,"未列名哺乳动物,改良...",302,丹麦,3,千克,20,只,5782
1063990,未列名鸟,311,葡萄牙,851,千克,1694,只,4388910
1064190,"其他蜂,改良种用除外",353,斯洛伐克,17,千克,250,只,821
2012000,鲜或冷的带骨牛肉,609,新西兰,4108,千克,0,—,42342
2013000,鲜或冷的去骨牛肉,402,阿根廷,233121,千克,0,—,1257281
2013000,鲜或冷的去骨牛肉,609,新西兰,689434,千克,0,—,4620018
2021000,冻整头及半头牛肉,609,新西兰,16787,千克,0,—,42917
2022000,冻带骨牛肉,402,阿根廷,7970529,千克,0,—,17699276
2022000,冻带骨牛肉,412,智利,450450,千克,0,—,1643846
2022000,冻带骨牛肉,432,巴拿马,197099,千克,0,—,418435
2022000,冻带骨牛肉,609,新西兰,3555429,千克,0,—,11004617
2023000,冻去骨牛肉,347,乌克兰,213440,千克,0,—,966541
2023000,冻去骨牛肉,402,阿根廷,27612729,千克,0,—,120815363
2023000,冻去骨牛肉,412,智利,157217,千克,0,—,1228264
2023000,冻去骨牛肉,432,巴拿马,23137,千克,0,—,74088
2023000,冻去骨牛肉,609,新西兰,9327382,千克,0,—,52159204
2032190,其他冻整头及半头猪肉,402,阿根廷,131842,千克,0,—,301364
2032200,冻带骨猪前腿、猪后腿...,302,丹麦,8328598,千克,0,—,19455952
2032200,冻带骨猪前腿、猪后腿...,311,葡萄牙,325790,千克,0,—,788970
2032200,冻带骨猪前腿、猪后腿...,402,阿根廷,606144,千克,0,—,1624823
2032200,冻带骨猪前腿、猪后腿...,412,智利,3864963,千克,0,—,11414762
2032900,其他冻猪肉,302,丹麦,15368484,千克,0,—,46373961
2032900,其他冻猪肉,311,葡萄牙,1525373,千克,0,—,4207522
2032900,其他冻猪肉,331,瑞士,84000,千克,0,—,285074
2032900,其他冻猪肉,402,阿根廷,896728,千克,0,—,2485264
2032900,其他冻猪肉,412,智利,8736043,千克,0,—,26373986
2042200,鲜或冷的带骨绵羊肉,609,新西兰,15052,千克,0,—,241159
2042300,鲜或冷的去骨绵羊肉,609,新西兰,9982,千克,0,—,98447
2043000,冻整头及半头羔羊肉,402,阿根廷,32413,千克,0,—,165562
2043000,冻整头及半头羔羊肉,609,新西兰,515172,千克,0,—,3103178
2044100,冻整头及半头绵羊肉,609,新西兰,4491692,千克,0,—,23669046
2044200,冻带骨绵羊肉,412,智利,40633,千克,0,—,199606
2044200,冻带骨绵羊肉,609,新西兰,13793311,千克,0,—,75070040
2044300,冻去骨绵羊肉,412,智利,384,千克,0,—,1772
2044300,冻去骨绵羊肉,609,新西兰,476275,千克,0,—,1899294
2062900,其他冻牛杂碎,609,新西兰,570733,千克,0,—,2048375
2064100,冻猪肝,302,丹麦,27118,千克,0,—,24406
2064100,冻猪肝,412,智利,289132,千克,0,—,216785
2064900,其他冻猪杂碎,302,丹麦,8077849,千克,0,—,17800593
2064900,其他冻猪杂碎,311,葡萄牙,84800,千克,0,—,258991
2064900,其他冻猪杂碎,331,瑞士,119840,千克,0,—,330994
2064900,其他冻猪杂碎,412,智利,3471380,千克,0,—,8401230
2069000,其他冻杂碎（牛、猪杂...,412,智利,7488,千克,0,—,41527
2069000,其他冻杂碎（牛、猪杂...,609,新西兰,149080,千克,0,—,781421
2071200,整只鸡，冻的,402,阿根廷,315582,千克,0,—,443243
2071411,带骨的冻鸡块,402,阿根廷,80160,千克,0,—,120694
2071419,其他冻鸡块,412,智利,17600,千克,0,—,41143
2071421,冻鸡翼（不包括翼尖）,402,阿根廷,2606352,千克,0,—,4522077
2071421,冻鸡翼（不包括翼尖）,412,智利,487114,千克,0,—,945797
2071422,冻鸡爪,402,阿根廷,1889283,千克,0,—,4899532
2071422,冻鸡爪,412,智利,1011092,千克,0,—,2744237
2071429,其他冻鸡杂碎,402,阿根廷,229742,千克,0,—,206515
2071429,其他冻鸡杂碎,412,智利,223605,千克,0,—,171101
2072700,火鸡块及杂碎，冻的,412,智利,768000,千克,0,—,1930801
2089090,其他鲜、冷、冻的肉及...,609,新西兰,64864,千克,0,—,488290
2091000,未炼制或用其他方法提...,302,丹麦,78245,千克,0,—,140260
2091000,未炼制或用其他方法提...,311,葡萄牙,25109,千克,0,—,42183
2091000,未炼制或用其他方法提...,412,智利,1312513,千克,0,—,3103311
3011100,淡水观赏鱼,247,坦桑尼亚,125,千克,0,—,5576
3011100,淡水观赏鱼,413,哥伦比亚,307,千克,0,—,49602
3011100,淡水观赏鱼,434,秘鲁,153,千克,0,—,32218
3011900,其他观赏鱼,134,斯里兰卡,273,千克,0,—,34234
3019290,其他活鳗鱼，鱼苗除外,106,缅甸,288,千克,0,—,2736
3019290,其他活鳗鱼，鱼苗除外,609,新西兰,4500,千克,0,—,52800
3021300,鲜或冷的大麻哈鱼,609,新西兰,6594,千克,0,—,99826
3021410,鲜或冷的大西洋鲑鱼,322,冰岛,16286,千克,0,—,134701
3021410,鲜或冷的大西洋鲑鱼,412,智利,119073,千克,0,—,1011276
3028920,鲜或冷的黄鱼,106,缅甸,598,千克,0,—,3299
3028990,其他鲜或冷的鱼,106,缅甸,21372,千克,0,—,121157
3028990,其他鲜或冷的鱼,134,斯里兰卡,14539,千克,0,—,89252
3031200,其他冻大麻哈鱼,412,智利,22000,千克,0,—,112200
3031310,冻大西洋鲑鱼,412,智利,117973,千克,0,—,360674
3033110,冻马舌鲽(格陵兰庸鲽...,311,葡萄牙,53055,千克,0,—,266149
3033110,冻马舌鲽(格陵兰庸鲽...,322,冰岛,163399,千克,0,—,906480
3033110,冻马舌鲽(格陵兰庸鲽...,334,爱沙尼亚,81403,千克,0,—,415835
3033900,其他冻比目鱼,103,孟加拉国,48497,千克,0,—,49248
3033900,其他冻比目鱼,334,爱沙尼亚,24648,千克,0,—,22183
3034200,冻黄鳍金枪鱼,620,密克罗尼西亚联邦,9769,千克,0,—,13134
3034300,冻鲣鱼或狐鲣,620,密克罗尼西亚联邦,549924,千克,0,—,719357
3035300,冻的沙丁鱼、小沙丁鱼...,334,爱沙尼亚,55440,千克,0,—,35563
3035400,冻鲭鱼,322,冰岛,133000,千克,0,—,282321
3035400,冻鲭鱼,609,新西兰,100,千克,0,—,125
3035500,冻的对称竹荚鱼、新西...,609,新西兰,38240,千克,0,—,47181
3035990,冻鳀鱼(鳀属）、冻印...,106,缅甸,2120,千克,0,—,8506
3036800,冻蓝鳕鱼,609,新西兰,77280,千克,0,—,59031
3036900,其他冻的犀鳕科、多丝...,609,新西兰,354482,千克,0,—,835779
3038300,冻南极犬牙鱼,402,阿根廷,22995,千克,0,—,364501
3038300,冻南极犬牙鱼,412,智利,64508,千克,0,—,1116778
3038910,冻带鱼,106,缅甸,89700,千克,0,—,208201
3038930,冻鲳鱼(银鲳除外),106,缅甸,3458,千克,0,—,24279
3038930,冻鲳鱼(银鲳除外),419,厄瓜多尔,79440,千克,0,—,123390
3038990,未列名冻鱼,106,缅甸,149946,千克,0,—,280414
3038990,未列名冻鱼,134,斯里兰卡,126899,千克,0,—,327548
3038990,未列名冻鱼,311,葡萄牙,24171,千克,0,—,24244
3038990,未列名冻鱼,322,冰岛,126171,千克,0,—,326390
3038990,未列名冻鱼,402,阿根廷,65413,千克,0,—,133452
3038990,未列名冻鱼,419,厄瓜多尔,99810,千克,0,—,152103
3038990,未列名冻鱼,609,新西兰,278039,千克,0,—,989111
3039100,冻的鱼肝、鱼卵及鱼精,302,丹麦,93600,千克,0,—,692640
3039100,冻的鱼肝、鱼卵及鱼精,434,秘鲁,298140,千克,0,—,3992515
3039900,其他冻的可食用鱼杂碎,311,葡萄牙,55544,千克,0,—,209382
3039900,其他冻的可食用鱼杂碎,322,冰岛,225938,千克,0,—,609560
3039900,其他冻的可食用鱼杂碎,334,爱沙尼亚,106347,千克,0,—,394202
3039900,其他冻的可食用鱼杂碎,402,阿根廷,46686,千克,0,—,189479
3039900,其他冻的可食用鱼杂碎,609,新西兰,5017,千克,0,—,19066
3044100,鲜或冷的大麻哈鱼、大...,412,智利,11,千克,0,—,156
3047900,其他冻的犀鳕科、多丝...,402,阿根廷,234878,千克,0,—,744907
3047900,其他冻的犀鳕科、多丝...,609,新西兰,50000,千克,0,—,167501
3048100,冻的大麻哈鱼、大西洋...,412,智利,19166,千克,0,—,68198
3048500,冻南极犬牙鱼鱼片,412,智利,15,千克,0,—,372
3049500,冻的犀鳕科、多丝真鳕...,322,冰岛,53106,千克,0,—,76443
3056300,盐腌及盐渍的鳀鱼,402,阿根廷,21807,千克,0,—,65421
3057200,鱼头、鱼尾、鱼鳔,609,新西兰,320,千克,0,—,8721
3061100,冻的岩礁虾和其他龙虾,416,古巴,30642,千克,0,—,662800
3061490,其他冻蟹,412,智利,114573,千克,0,—,1669285
3061719,其他冻小虾,402,阿根廷,120775,千克,0,—,924824
3061719,其他冻小虾,609,新西兰,17592,千克,0,—,620065
3061721,其他冻对虾仁,106,缅甸,4894,千克,0,—,49531
3061729,其他冻对虾,106,缅甸,47792,千克,0,—,409532
3061729,其他冻对虾,131,沙特阿拉伯,20736,千克,0,—,126949
3061729,其他冻对虾,402,阿根廷,26100,千克,0,—,188483
3061729,其他冻对虾,419,厄瓜多尔,21978006,千克,0,—,109807258
3061729,其他冻对虾,434,秘鲁,326708,千克,0,—,1585565
3061729,其他冻对虾,445,委内瑞拉,164584,千克,0,—,661460
3061990,其他冻甲壳动物，包括...,609,新西兰,4926,千克,0,—,200836
3063190,活、鲜或冷的岩礁虾和...,106,缅甸,14492,千克,0,—,311652
3063190,活、鲜或冷的岩礁虾和...,134,斯里兰卡,461,千克,0,—,13136
3063190,活、鲜或冷的岩礁虾和...,232,摩洛哥,150,千克,0,—,6834
3063190,活、鲜或冷的岩礁虾和...,247,坦桑尼亚,9604,千克,0,—,341474
3063190,活、鲜或冷的岩礁虾和...,311,葡萄牙,19575,千克,0,—,1044297
3063190,活、鲜或冷的岩礁虾和...,412,智利,10863,千克,0,—,893469
3063190,活、鲜或冷的岩礁虾和...,432,巴拿马,1772,千克,0,—,73904
3063190,活、鲜或冷的岩礁虾和...,609,新西兰,219762,千克,0,—,24275318
3063190,活、鲜或冷的岩礁虾和...,611,巴布亚新几内亚,2890,千克,0,—,134499
3063392,活、鲜或冷的梭子蟹，...,106,缅甸,630,千克,0,—,5040
3063399,其他活、鲜或冷的蟹，...,106,缅甸,351339,千克,0,—,2448754
3063399,其他活、鲜或冷的蟹，...,134,斯里兰卡,2011,千克,0,—,32365
3063399,其他活、鲜或冷的蟹，...,247,坦桑尼亚,44884,千克,0,—,357511
3063399,其他活、鲜或冷的蟹，...,311,葡萄牙,1300,千克,0,—,14491
3063399,其他活、鲜或冷的蟹，...,412,智利,464,千克,0,—,7685
3063399,其他活、鲜或冷的蟹，...,611,巴布亚新几内亚,50222,千克,0,—,303575
3063690,其他活的对虾及活、鲜...,134,斯里兰卡,8,千克,0,—,5599
3063990,未列名活、鲜或冷的甲...,106,缅甸,21932,千克,0,—,581198
3063990,未列名活、鲜或冷的甲...,215,埃及,18748,千克,0,—,108500
3069900,本品目所列其他方法加...,412,智利,131300,千克,0,—,263388
3071190,活、鲜或冷的牡蛎，种...,609,新西兰,5477,千克,0,—,71618
3073190,活、鲜或冷的贻贝，种...,609,新西兰,252314,千克,0,—,1056455
3073200,冻贻贝,609,新西兰,342996,千克,0,—,1880834
3074310,冻的墨鱼（乌贼属、巨...,103,孟加拉国,29929,千克,0,—,89877
3074310,冻的墨鱼（乌贼属、巨...,106,缅甸,68652,千克,0,—,118714
3074310,冻的墨鱼（乌贼属、巨...,134,斯里兰卡,62820,千克,0,—,151897
3074310,冻的墨鱼（乌贼属、巨...,434,秘鲁,132595,千克,0,—,202567
3074390,其他冻的墨鱼及鱿鱼,106,缅甸,27000,千克,0,—,46038
3074390,其他冻的墨鱼及鱿鱼,402,阿根廷,205170,千克,0,—,519996
3074390,其他冻的墨鱼及鱿鱼,434,秘鲁,3767925,千克,0,—,4776837
3076090,活、鲜、冷、冻、干、...,106,缅甸,5925,千克,0,—,17775
